problem,config,checkpoint,hypervolume,normalized_hv,percent_non_dominated,ordering_score,pref_grid_step,lr,gamma,batch_size,seed,timestamp
problem_1a,problem_1a.yml,,131.29052654203275,0.6188552724556052,0.23076923076923078,0.9553960785986451,0.05,0.001,0.99,32,0,2026-06-03T15:47:59
problem_1a,problem_1a.yml,,71.576259842093,0.3373841735012805,0.46153846153846156,0.9869841269841271,0.05,0.001,0.99,32,1,2026-06-03T17:00:56
problem_1a,problem_1a.yml,,38.86187156046472,0.18318057476132177,1.0,0.9912253694581281,0.05,0.001,0.99,32,2,2026-06-03T18:01:04
problem_1a,problem_1a.yml,,74.48419810864894,0.35109112537078513,0.15384615384615385,0.9794717839242976,0.05,0.001,0.99,32,3,2026-06-03T19:14:25
problem_0,problem_0.yml,,398.3208447346171,0.8886626351435238,0.8461538461538461,0.9011852326363978,0.05,0.0003,0.95,128,2,2026-06-03T19:16:21
problem_0,problem_0.yml,,409.2618450587895,0.9130722494223426,0.38461538461538464,0.9410434336382982,0.05,0.0003,0.95,128,0,2026-06-03T19:16:41
problem_0,problem_0.yml,,384.6535161537901,0.858170522083003,0.9230769230769231,0.9962499023399352,0.05,0.0003,0.95,128,3,2026-06-03T19:16:45
problem_0,problem_0.yml,,397.38269189530683,0.8865695953607219,0.6153846153846154,0.8664237556107588,0.05,0.0003,0.95,128,1,2026-06-03T19:16:49
problem_0,problem_0.yml,,402.30832927296996,0.8975588015487935,0.8461538461538461,0.9814832262919924,0.05,0.0003,0.95,128,4,2026-06-03T19:16:56
problem_1a,problem_1a.yml,,92.40105292912466,0.4355445917671074,0.5384615384615384,0.8913359024130318,0.05,0.001,0.99,32,4,2026-06-03T20:29:53
problem_1b,problem_1b.yml,,68.56152966006535,0.8521459335935315,0.6153846153846154,0.716677179913338,0.05,0.001,0.99,128,0,2026-06-03T23:27:06
problem_1b,problem_1b.yml,,33.74572959100202,0.4194230553153599,0.3076923076923077,0.6354323961692648,0.05,0.001,0.99,128,2,2026-06-03T23:27:28
problem_1b,problem_1b.yml,,17.04060927354611,0.2117964107627919,0.8461538461538461,0.7104210199300677,0.05,0.001,0.99,128,1,2026-06-03T23:27:35
problem_1b,problem_1b.yml,,24.973264378466286,0.3103907656987645,0.07692307692307693,0.7241887132756022,0.05,0.001,0.99,128,4,2026-06-03T23:27:56
problem_1b,problem_1b.yml,,40.431517552843985,0.5025201952537454,0.15384615384615385,0.5369160311433737,0.05,0.001,0.99,128,3,2026-06-03T23:28:31
problem_1c,problem_1c.yml,,0.12587993237043976,0.06489844088971657,0.7692307692307693,0.9194283791894204,0.05,0.0006,0.99,32,0,2026-06-03T23:55:26
problem_2a,problem_2a.yml,,107.70555041938938,0.5702943115286007,0.5384615384615384,0.7895645862883344,0.05,0.0003,0.99,32,0,2026-06-04T02:19:20
problem_1c,problem_1c.yml,,0.12587993237043976,0.06489844088971657,0.6923076923076923,0.904150993883792,0.05,0.0006,0.99,32,3,2026-06-04T02:30:32
problem_1c,problem_1c.yml,,0.12587993237043976,0.06489844088971657,0.9230769230769231,0.9394419225531033,0.05,0.0006,0.99,32,1,2026-06-04T02:39:33
problem_1c,problem_1c.yml,,0.12587993237043976,0.06489844088971657,0.7692307692307693,0.9114147930523387,0.05,0.0006,0.99,32,2,2026-06-04T02:40:09
problem_1c,problem_1c.yml,,0.12587993237043976,0.06489844088971657,0.6923076923076923,0.9366195764112432,0.05,0.0006,0.99,32,4,2026-06-04T02:40:48
problem_2a,problem_2a.yml,,54.24736627027337,0.28723649133105444,0.15384615384615385,0.6297079799885773,0.05,0.0003,0.99,32,1,2026-06-04T02:46:22
problem_2b,problem_2b.yml,,185.6455572878094,0.6700797437173341,0.5384615384615384,0.9718479432336184,0.05,0.001,0.99,32,0,2026-06-04T03:59:43
problem_2b,problem_2b.yml,,140.50915092236636,0.5071618045458182,0.23076923076923078,0.9807177936441146,0.05,0.001,0.99,32,1,2026-06-04T04:00:43
