problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2a,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,39.44389912730968,0.2088530369068437,0.8461538461538461,0.9793023980487643,2026-05-29T22:17:25
2a,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,35.13014728998063,0.18601198438359384,0.15384615384615385,0.7984426914294301,2026-05-30T00:02:06
2a,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,35.088730740386076,0.1857926862829394,0.6923076923076923,0.8357536788729447,2026-05-30T02:55:55
2a,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,107.70555041938938,0.5702943115286007,0.5384615384615384,0.7895645862883344,2026-05-30T03:02:57
2a,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,36.63050805177437,0.19395630298518798,0.23076923076923078,0.7143606443187642,2026-05-30T04:12:19
2a,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,39.44389912730968,0.2088530369068437,0.9230769230769231,0.9327884615384615,2026-05-30T04:16:45
2a,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,72.40797259089392,0.3833957926691197,0.46153846153846156,0.7029978512590958,2026-05-30T06:06:12
2a,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,14.547605152118505,0.07702868080904221,1.0,0.9135443922359514,2026-05-30T07:51:08
2a,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,17.604983280595512,0.09321731127491009,0.38461538461538464,0.8264158238606175,2026-05-30T08:10:58
2a,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,67.37251273168019,0.35673334024713915,0.46153846153846156,0.9825952390632622,2026-05-30T11:16:29
