problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5b,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,697.1710612405052,0.2783479531777696,0.12087912087912088,0.6742435426198596,2026-06-01T19:51:56
5b,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,882.8312853414168,0.35247343864049335,0.07692307692307693,0.7092674256019976,2026-06-01T22:19:48
5b,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,877.3778444272732,0.3502961335275605,0.23076923076923078,0.459867071948698,2026-06-02T00:47:34
5b,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,1303.0274282496855,0.5202381994204333,0.0989010989010989,0.7092803176418043,2026-06-02T01:26:57
5b,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,694.367094436174,0.2772284597504675,0.14285714285714285,0.7424145402554091,2026-06-02T02:45:49
5b,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,104.43860807023147,0.041697474845496726,0.07692307692307693,0.5683855182682783,2026-06-02T02:52:52
5b,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,864.7179923687459,0.34524164388515577,0.04395604395604396,0.4456008899017862,2026-06-02T03:57:23
5b,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,956.6482776198371,0.3819451276602266,0.06593406593406594,0.748587814380783,2026-06-02T06:42:30
5b,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,18.750638949574515,0.007486257337048227,0.08791208791208792,0.6031730814195735,2026-06-02T07:11:59
5b,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,108.68734554496415,0.043393797951015806,0.5384615384615384,0.5707045649457818,2026-06-02T09:41:07
