problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5d,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,8224.288819094116,0.05624188285975077,0.05384615384615385,0.7922400028195763,2026-06-02T13:03:11
5d,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,96611.87976321334,0.6606813238231426,0.06538461538461539,0.5795791769670818,2026-06-02T14:56:18
5d,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,63608.9279950449,0.43499030199740574,0.04065934065934066,0.6290788507926794,2026-06-02T18:26:06
5d,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,91785.6873811471,0.6276773580600958,0.22802197802197802,0.5338128295986508,2026-06-02T18:40:07
5d,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,92817.57619586334,0.6347339402300725,0.04945054945054945,0.5264814937353461,2026-06-02T19:24:25
5d,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,20010.77259360786,0.1368438722056905,0.1423076923076923,0.8317645222240665,2026-06-02T19:43:07
5d,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,30553.31767568269,0.2089391741329645,0.07307692307692308,0.6421418897917609,2026-06-02T21:21:49
5d,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,20286.702725372797,0.1387308232223145,0.1346153846153846,0.6020836037833789,2026-06-03T00:58:35
5d,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,104652.80859792679,0.7156692975620511,0.12417582417582418,0.5801247629451844,2026-06-03T01:04:41
5d,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,5663.910162960941,0.038732707340461386,0.023626373626373626,0.5976017529287873,2026-06-03T04:15:37
