problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5e,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,191765.69723204963,0.4223205344147608,0.7879120879120879,0.718642786165463,2026-06-02T21:19:26
5e,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,101376.46233098794,0.2232587077181671,0.47527472527472525,0.6143596339329178,2026-06-03T00:19:22
5e,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,12244.412911171461,0.02696554743043321,0.1901098901098901,0.6171728912399731,2026-06-03T02:51:17
5e,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,139368.5412824287,0.3069276606012518,0.667032967032967,0.6598571524455643,2026-06-03T04:19:11
5e,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,9647.09663506709,0.021245546337426306,0.06098901098901099,0.7549305417900386,2026-06-03T05:44:39
5e,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,130208.63033998766,0.2867550304581128,0.09340659340659341,0.6444917441757302,2026-06-03T06:17:26
5e,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,39323.853438616265,0.0866018846913388,0.6835164835164835,0.7205628076418783,2026-06-03T06:29:28
5e,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,280026.0753194451,0.6166940359300678,0.7076923076923077,0.8199090049899941,2026-06-03T08:44:27
5e,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,768.3069611669678,0.001692022145347411,0.20494505494505494,0.6180506520106833,2026-06-03T09:18:29
5e,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,79595.83594683054,0.17529180901200858,0.44065934065934065,0.5000435201863026,2026-06-03T12:08:50
