n_obj,steps,proportion_allocated
5,100000,1.0
5,100000,1.0
5,100000,1.0
5,100000,0.9925
5,100000,1.0
10,100000,0.9335
10,100000,0.984
10,100000,0.9105
10,100000,0.8985
10,100000,1.0
15,100000,1.0
15,100000,0.99
15,100000,0.996
15,100000,0.927
15,100000,0.993
20,100000,0.9895
20,100000,0.837
20,100000,0.989
20,100000,0.975
20,100000,1.0
5,200000,1.0
5,200000,0.9965
5,200000,0.9935
5,200000,0.988
5,200000,0.9705
10,200000,1.0
10,200000,0.9945
10,200000,0.921
10,200000,0.9385
10,200000,0.982
15,200000,1.0
15,200000,0.9905
15,200000,1.0
15,200000,1.0
15,200000,0.998
20,200000,0.9905
20,200000,0.9430000000000001
20,200000,0.9965
20,200000,0.967
20,200000,0.987
5,300000,0.998
5,300000,1.0
5,300000,0.9935
5,300000,0.9985
5,300000,0.9715
10,300000,0.9895
10,300000,0.981
10,300000,0.9995
10,300000,0.9655
10,300000,0.9925
15,300000,0.998
15,300000,0.9995
15,300000,0.987
15,300000,1.0
15,300000,1.0
20,300000,0.986
20,300000,1.0
20,300000,0.9845
20,300000,0.813
20,300000,0.9995
5,400000,1.0
5,400000,0.9995
5,400000,0.997
5,400000,0.9945
5,400000,0.984
10,400000,0.9915
10,400000,0.9335
10,400000,0.998
10,400000,0.946
10,400000,0.995
15,400000,0.9995
15,400000,1.0
15,400000,0.996
15,400000,0.989
15,400000,0.9355
20,400000,0.933
20,400000,0.8755
20,400000,0.913
20,400000,0.8594999999999999
20,400000,0.9855
5,500000,1.0
5,500000,0.999
5,500000,0.999
5,500000,0.9925
5,500000,0.994
10,500000,0.9815
10,500000,0.9985
10,500000,0.998
10,500000,0.942
10,500000,0.9965
15,500000,0.999
15,500000,1.0
15,500000,0.993
15,500000,0.9595
15,500000,0.9515
20,500000,0.997
20,500000,0.954
20,500000,0.9665
20,500000,0.8985
20,500000,0.887
5,600000,0.9995
5,600000,0.997
5,600000,0.999
5,600000,0.9925
5,600000,0.9965
10,600000,0.993
10,600000,0.9975
10,600000,0.996
10,600000,0.994
10,600000,0.999
15,600000,0.989
15,600000,1.0
15,600000,0.9735
15,600000,1.0
15,600000,0.9515
20,600000,0.9995
20,600000,0.9935
20,600000,0.9595
20,600000,0.9615
20,600000,0.9985
5,700000,1.0
5,700000,1.0
5,700000,1.0
5,700000,0.9975
5,700000,0.9945
10,700000,0.999
10,700000,0.9995
10,700000,0.985
10,700000,0.9965
10,700000,0.998
15,700000,0.989
15,700000,1.0
15,700000,0.98
15,700000,0.9845
15,700000,0.999
20,700000,1.0
20,700000,0.9955
20,700000,0.997
20,700000,0.9925
20,700000,0.953
5,800000,1.0
5,800000,0.9995
5,800000,0.996
5,800000,0.999
5,800000,0.9975
10,800000,0.9995
10,800000,1.0
10,800000,0.991
10,800000,0.994
10,800000,0.997
15,800000,0.9915
15,800000,0.9955
15,800000,0.97
15,800000,1.0
15,800000,0.959
20,800000,0.993
20,800000,0.9985
20,800000,0.998
20,800000,0.923
20,800000,0.9715
5,900000,0.998
5,900000,1.0
5,900000,0.9995
5,900000,0.9965
5,900000,0.998
10,900000,1.0
10,900000,1.0
10,900000,0.995
10,900000,1.0
10,900000,0.9975
15,900000,0.9965
15,900000,1.0
15,900000,0.95
15,900000,1.0
15,900000,0.9965
20,900000,0.994
20,900000,0.997
20,900000,0.999
20,900000,0.9975
20,900000,0.999
5,1000000,0.9975
5,1000000,0.9985
5,1000000,1.0
5,1000000,0.9995
5,1000000,0.9955
10,1000000,1.0
10,1000000,1.0
10,1000000,0.998
10,1000000,0.998
10,1000000,0.9995
15,1000000,0.993
15,1000000,1.0
15,1000000,0.99
15,1000000,0.9995
15,1000000,0.9945
20,1000000,1.0
20,1000000,0.998
20,1000000,1.0
20,1000000,0.9915
20,1000000,0.9985
