problem,config,checkpoint,hypervolume,normalized_hv,percent_non_dominated,ordering_score,pref_grid_step,lr,gamma,batch_size,seed,timestamp
problem_1a,problem_1a.yml,,138.55310957011613,0.6530884187225378,0.42857142857142855,0.952267481436803,0.05,0.0001,0.95,32,0,2026-05-01T17:57:14
problem_1a,problem_1a.yml,,95.2940655541763,0.4491811896500526,0.19047619047619047,0.9204466502356695,0.05,0.0001,0.95,32,1,2026-05-01T19:31:31
problem_0,problem_0.yml,,402.16214275255896,0.8972326561808868,0.19047619047619047,0.9013689593471346,0.05,0.0003,0.95,128,2,2026-05-01T20:59:01
problem_0,problem_0.yml,,402.15812947858694,0.8972237024776832,0.23809523809523808,0.9011903133911711,0.05,0.0003,0.95,128,1,2026-05-01T20:59:53
problem_0,problem_0.yml,,429.77295515799665,0.9588329907730104,0.3333333333333333,0.9488395593546027,0.05,0.0003,0.95,128,0,2026-05-01T20:59:58
problem_0,problem_0.yml,,408.92663169229064,0.9123243809701989,0.19047619047619047,0.9757858352316375,0.05,0.0003,0.95,128,4,2026-05-01T21:04:03
problem_0,problem_0.yml,,409.4645774308412,0.9135245498388481,0.8095238095238095,0.9912726026490681,0.05,0.0003,0.95,128,3,2026-05-01T21:05:05
problem_1a,problem_1a.yml,,66.4663057375045,0.31329772855417815,0.6666666666666666,0.9627597033504862,0.05,0.0001,0.95,32,2,2026-05-01T21:12:57
problem_1a,problem_1a.yml,,154.2180559723975,0.7269272167616533,0.5238095238095238,0.8677129059006343,0.05,0.0001,0.95,32,3,2026-05-01T22:38:26
problem_1a,problem_1a.yml,,65.87473501573348,0.31050928166588604,0.8571428571428571,0.9663086956893748,0.05,0.0001,0.95,32,4,2026-05-01T22:39:52
problem_1b,problem_1b.yml,,69.21454072091666,0.8602621574125598,0.8095238095238095,0.9088241284577492,0.05,0.0006,0.95,256,0,2026-05-01T23:35:38
problem_1b,problem_1b.yml,,32.29311941309447,0.40136867609806703,0.19047619047619047,0.5687389373991055,0.05,0.0006,0.95,256,1,2026-05-01T23:42:38
problem_1b,problem_1b.yml,,31.20538609751321,0.38784932309788633,0.7619047619047619,0.9427751060242782,0.05,0.0006,0.95,256,2,2026-05-01T23:44:11
problem_1b,problem_1b.yml,,13.836386587262457,0.1719713755574418,0.5238095238095238,0.4786309523809524,0.05,0.0006,0.95,256,3,2026-05-01T23:48:50
problem_1b,problem_1b.yml,,32.06537983667995,0.39853811856934573,0.47619047619047616,0.8630366219788161,0.05,0.0006,0.95,256,4,2026-05-02T01:12:42
problem_1c,problem_1c.yml,,0.6301771372612208,0.3248930383299289,1.0,0.9875,0.05,0.0006,0.95,256,0,2026-05-02T01:14:40
problem_1c,problem_1c.yml,,0.014616942001342774,0.0075358854155638385,0.09523809523809523,0.8087145266654356,0.05,0.0006,0.95,256,1,2026-05-02T02:09:23
problem_1c,problem_1c.yml,,0.019052483154296876,0.009822665364585283,0.047619047619047616,0.7716251842516938,0.05,0.0006,0.95,256,2,2026-05-02T02:19:41
problem_1c,problem_1c.yml,,0.12587993237043976,0.06489844088971657,0.14285714285714285,0.966560437470525,0.05,0.0006,0.95,256,3,2026-05-02T02:21:28
problem_1c,problem_1c.yml,,0.9878869257190345,0.5093132801011577,0.09523809523809523,0.9445162396499669,0.05,0.0006,0.95,256,4,2026-05-02T02:23:03
