problem,config,checkpoint,scalarization,hypervolume,normalized_hv,percent_non_dominated,ordering_score,learning_rate,gamma,batch_size,tau,total_steps,seed,timestamp
problem_0,problem_0.yml,,linear,448.22504194395987,1.0000000054644864,1.0,1.0,0.0001,0.95,32,0.01,500000,1,2026-06-19T08:13:00
problem_0,problem_0.yml,,linear,444.9010524296984,0.9925841111672621,1.0,1.0,0.0001,0.95,32,0.01,500000,4,2026-06-19T08:13:11
problem_0,problem_0.yml,,linear,444.383743926018,0.9914299844271236,1.0,1.0,0.0001,0.95,32,0.01,500000,0,2026-06-19T08:13:17
problem_0,problem_0.yml,,linear,448.22504194395987,1.0000000054644864,1.0,1.0,0.0001,0.95,32,0.01,500000,3,2026-06-19T08:13:23
problem_0,problem_0.yml,,linear,444.78539824024955,0.9923260841066158,1.0,1.0,0.0001,0.95,32,0.01,500000,2,2026-06-19T08:13:47
problem_1a,problem_1a.yml,,linear,118.80725879056004,0.560013737815247,1.0,0.9682539682539681,0.0003,0.99,256,0.005,500000,0,2026-06-19T09:02:29
problem_1a,problem_1a.yml,,linear,170.6069342984108,0.8041783637318017,0.6923076923076923,0.9912790697674418,0.0003,0.99,256,0.005,500000,1,2026-06-19T09:03:01
problem_1a,problem_1a.yml,,linear,170.6069342984108,0.8041783637318017,0.7692307692307693,0.8766782407407409,0.0003,0.99,256,0.005,500000,3,2026-06-19T09:03:31
problem_1a,problem_1a.yml,,linear,170.5953778845898,0.8041238910458267,0.8461538461538461,0.9730769230769226,0.0003,0.99,256,0.005,500000,2,2026-06-19T09:03:34
problem_1a,problem_1a.yml,,linear,111.8069343162922,0.5270167819502424,0.8461538461538461,0.9841269841269842,0.0003,0.99,256,0.005,500000,4,2026-06-19T09:05:17
problem_1b,problem_1b.yml,,linear,44.84895563045486,0.5574241904446506,1.0,0.9999999999999998,0.0003,0.99,256,0.005,500000,0,2026-06-19T09:52:54
problem_1b,problem_1b.yml,,linear,43.92445497164585,0.545933643472979,0.8461538461538461,0.9799679487179487,0.0003,0.99,256,0.005,500000,1,2026-06-19T09:53:07
problem_1b,problem_1b.yml,,linear,26.86628112089222,0.3339189239426189,1.0,1.0,0.0003,0.99,256,0.005,500000,2,2026-06-19T09:54:03
problem_1b,problem_1b.yml,,linear,28.999159241484435,0.36042830064883774,1.0,0.9553571428571429,0.0003,0.99,256,0.005,500000,3,2026-06-19T09:54:09
problem_1b,problem_1b.yml,,linear,32.81849243057122,0.4078984965773108,1.0,1.0,0.0003,0.99,256,0.005,500000,4,2026-06-19T09:57:28
problem_1c,problem_1c.yml,,linear,0.2782603174041813,0.14345940946223232,1.0,0.5632716049382716,0.0006,0.99,32,0.05,500000,1,2026-06-19T10:20:13
problem_1c,problem_1c.yml,,linear,0.2782603174041813,0.14345940946223232,1.0,0.6820987654320987,0.0006,0.99,32,0.05,500000,0,2026-06-19T10:20:16
problem_1c,problem_1c.yml,,linear,0.12587993237043976,0.06489844088971657,0.9230769230769231,0.7118055555555556,0.0006,0.99,32,0.05,500000,2,2026-06-19T10:21:41
problem_1c,problem_1c.yml,,linear,0.2863365861156399,0.14762319663394474,1.0,0.4444444444444445,0.0006,0.99,32,0.05,500000,3,2026-06-19T10:21:50
problem_1c,problem_1c.yml,,linear,0.12587993237043976,0.06489844088971657,1.0,1.0,0.0006,0.99,32,0.05,500000,4,2026-06-19T10:25:38
problem_2a,problem_2a.yml,,linear,111.16273840798384,0.5885999107860509,1.0,1.0,0.001,0.99,128,0.005,1000000,0,2026-06-19T12:40:09
problem_2a,problem_2a.yml,,linear,55.72665420023008,0.2950692305750606,0.6923076923076923,0.9921875,0.001,0.99,128,0.005,1000000,2,2026-06-19T12:40:53
problem_2a,problem_2a.yml,,linear,80.6201763276618,0.42687890990826194,0.23076923076923078,0.8219521604938272,0.001,0.99,128,0.005,1000000,1,2026-06-19T12:42:52
problem_2a,problem_2a.yml,,linear,100.31028761466584,0.531136846631289,0.15384615384615385,0.6488277268093782,0.001,0.99,128,0.005,1000000,3,2026-06-19T12:43:46
problem_2a,problem_2a.yml,,linear,94.04850937472574,0.4979811132787715,1.0,1.0,0.001,0.99,128,0.005,1000000,4,2026-06-19T12:49:38
problem_2b,problem_2b.yml,,linear,258.13736321284495,0.9317358342024268,0.8461538461538461,0.9486196319018404,0.001,0.99,128,0.005,1000000,0,2026-06-19T15:02:18
problem_2b,problem_2b.yml,,linear,258.13736321284495,0.9317358342024268,1.0,0.921383647798742,0.001,0.99,128,0.005,1000000,1,2026-06-19T15:05:06
problem_2b,problem_2b.yml,,linear,219.69782857692218,0.7929899687276051,0.8461538461538461,1.0,0.001,0.99,128,0.005,1000000,3,2026-06-19T15:06:04
problem_2b,problem_2b.yml,,linear,181.96630170439533,0.656799627163925,0.7692307692307693,0.7737730061349692,0.001,0.99,128,0.005,1000000,2,2026-06-19T15:06:13
problem_2b,problem_2b.yml,,linear,224.1565633434893,0.8090835822421637,0.46153846153846156,0.8570973648594858,0.001,0.99,128,0.005,1000000,4,2026-06-19T15:14:29
problem_2c,problem_2c.yml,,linear,56.104929078734365,0.16965250737525453,0.9230769230769231,0.9938271604938272,0.0003,0.95,128,0.05,1000000,0,2026-06-19T16:49:08
problem_2c,problem_2c.yml,,linear,56.952413663253736,0.17221516785957344,0.9230769230769231,0.9938271604938272,0.0003,0.95,128,0.05,1000000,1,2026-06-19T16:53:09
problem_2c,problem_2c.yml,,linear,29.433003014495664,0.08900078554569055,0.9230769230769231,1.0,0.0003,0.95,128,0.05,1000000,2,2026-06-19T16:53:27
problem_2c,problem_2c.yml,,linear,203.524970083414,0.6154275935304998,0.9230769230769231,0.8607073643410853,0.0003,0.95,128,0.05,1000000,3,2026-06-19T16:54:50
problem_2c,problem_2c.yml,,linear,56.952413663253736,0.17221516785957344,0.9230769230769231,1.0,0.0003,0.95,128,0.05,1000000,4,2026-06-19T17:03:54
problem_3a,problem_3a.yml,,linear,31962.579156385505,0.6712858571859696,0.3395604395604396,0.8606540960562014,0.0003,0.95,128,0.001,500000,0,2026-06-19T18:03:22
problem_3a,problem_3a.yml,,linear,28530.97175331616,0.5992144043215373,0.4978021978021978,0.9039066203495902,0.0003,0.95,128,0.001,500000,1,2026-06-19T18:07:47
problem_3a,problem_3a.yml,,linear,31923.08298239789,0.6704563489388059,0.4076923076923077,0.7760243527513774,0.0003,0.95,128,0.001,500000,2,2026-06-19T18:08:12
problem_3a,problem_3a.yml,,linear,32010.834882083913,0.6722993356675118,0.4010989010989011,0.8877869984442833,0.0003,0.95,128,0.001,500000,3,2026-06-19T18:09:03
problem_3a,problem_3a.yml,,linear,31476.81367088178,0.6610836923752934,0.4967032967032967,0.8015678065553064,0.0003,0.95,128,0.001,500000,4,2026-06-19T18:19:56
problem_3b,problem_3b.yml,,linear,6.433251442050065,0.00994072467623984,0.48736263736263735,0.817552484489444,0.001,0.99,128,0.005,1000000,0,2026-06-19T20:26:24
problem_3b,problem_3b.yml,,linear,3.1967251309750893,0.0049396117467023146,0.5675824175824176,0.7783963748857675,0.001,0.99,128,0.005,1000000,2,2026-06-19T20:30:18
problem_3b,problem_3b.yml,,linear,77.11121612603739,0.1191530248528094,0.5384615384615384,0.5605746568581861,0.001,0.99,128,0.005,1000000,1,2026-06-19T20:32:11
problem_3b,problem_3b.yml,,linear,18.667517215074955,0.028845234901139355,0.3631868131868132,0.633064580860803,0.001,0.99,128,0.005,1000000,3,2026-06-19T20:32:16
problem_3b,problem_3b.yml,,linear,12.682614060345657,0.01959730249696702,0.45,0.7609416591939868,0.001,0.99,128,0.005,1000000,4,2026-06-19T20:44:21
problem_4a,problem_4a.yml,,linear,36.52411286127348,0.8958029114322662,0.056593406593406594,0.8250200354298197,0.0003,0.95,128,0.05,1000000,0,2026-06-19T22:16:13
problem_4a,problem_4a.yml,,linear,36.201412139191824,0.8878882429101308,0.16538461538461538,0.9121666666666667,0.0003,0.95,128,0.05,1000000,1,2026-06-19T22:21:27
problem_4a,problem_4a.yml,,linear,36.45733517694677,0.894165099057034,0.14175824175824175,0.9019272486772487,0.0003,0.95,128,0.05,1000000,3,2026-06-19T22:22:01
problem_4a,problem_4a.yml,,linear,25.325620322949316,0.6211448449219131,0.18681318681318682,0.8387738095238096,0.0003,0.95,128,0.05,1000000,2,2026-06-19T22:22:31
problem_4a,problem_4a.yml,,linear,35.471557724128274,0.8699875833535546,0.09615384615384616,0.9423600529100529,0.0003,0.95,128,0.05,1000000,4,2026-06-19T22:38:25
problem_4b,problem_4b.yml,,linear,111769.34229464963,0.2516073701353816,0.8648351648351649,0.8562474552368592,0.001,0.99,32,0.01,1000000,0,2026-06-20T00:09:08
problem_4b,problem_4b.yml,,linear,188440.74454637483,0.42420469860755616,0.5527472527472528,0.7593729866210143,0.001,0.99,32,0.01,1000000,2,2026-06-20T00:15:05
problem_4b,problem_4b.yml,,linear,135750.66582492847,0.30559245783422945,0.7934065934065934,0.8644169246768311,0.001,0.99,32,0.01,1000000,3,2026-06-20T00:16:13
problem_4b,problem_4b.yml,,linear,183622.83752846956,0.4133589614005119,0.560989010989011,0.7667508356563117,0.001,0.99,32,0.01,1000000,1,2026-06-20T00:16:30
problem_4b,problem_4b.yml,,linear,150803.1575509952,0.3394775803501695,0.5708791208791208,0.8445489036798481,0.001,0.99,32,0.01,1000000,4,2026-06-20T00:32:11
problem_5a,problem_5a.yml,,linear,1969.7850673026908,0.49019218942283865,0.8351648351648352,0.9809572513982509,0.0003,0.95,128,0.05,1000000,0,2026-06-20T01:59:09
problem_5a,problem_5a.yml,,linear,1965.3312079448008,0.4890838212529981,0.8461538461538461,0.983990144977065,0.0003,0.95,128,0.05,1000000,1,2026-06-20T02:03:45
problem_5a,problem_5a.yml,,linear,2998.4815759380454,0.7461891518275224,0.8131868131868132,0.8906287970834376,0.0003,0.95,128,0.05,1000000,2,2026-06-20T02:05:24
problem_5a,problem_5a.yml,,linear,3286.68035532896,0.8179090531526314,0.8681318681318682,0.9841764348363392,0.0003,0.95,128,0.05,1000000,3,2026-06-20T02:07:23
problem_5a,problem_5a.yml,,linear,1965.3331791960322,0.4890843118100508,0.7912087912087912,0.9771637371005177,0.0003,0.95,128,0.05,1000000,4,2026-06-20T02:25:02
problem_5b,problem_5b.yml,,linear,2443.4888959039017,0.97557137781545,0.7142857142857143,0.8205809989327947,0.0003,0.95,128,0.001,500000,0,2026-06-20T03:13:29
problem_5b,problem_5b.yml,,linear,2407.475966304313,0.9611930913384635,0.6813186813186813,0.9120499808685758,0.0003,0.95,128,0.001,500000,1,2026-06-20T03:18:10
problem_5b,problem_5b.yml,,linear,2410.820280474063,0.9625283203169541,0.8571428571428571,0.902085528187231,0.0003,0.95,128,0.001,500000,2,2026-06-20T03:19:45
problem_5b,problem_5b.yml,,linear,2441.9480076814943,0.9749561728727496,0.6703296703296703,0.9063114912916131,0.0003,0.95,128,0.001,500000,3,2026-06-20T03:22:54
problem_5b,problem_5b.yml,,linear,2417.3553446057053,0.9651374672337688,0.7692307692307693,0.9127245145741053,0.0003,0.95,128,0.001,500000,4,2026-06-20T03:41:02
