n_obj,steps,proportion_allocated
5,100000,0.9845
5,100000,0.9635
5,100000,0.978
5,100000,0.971
5,100000,0.9535
10,100000,0.9565
10,100000,0.924
10,100000,0.946
10,100000,0.973
10,100000,0.951
15,100000,0.957
15,100000,0.956
15,100000,0.9555
15,100000,0.924
15,100000,0.8975
20,100000,0.97
20,100000,0.9205
20,100000,0.959
20,100000,0.865
20,100000,0.9430000000000001
5,200000,0.9765
5,200000,0.993
5,200000,0.99
5,200000,0.962
5,200000,0.985
10,200000,0.979
10,200000,0.95
10,200000,0.9885
10,200000,0.999
10,200000,0.9645
15,200000,0.968
15,200000,0.9685
15,200000,0.971
15,200000,0.9865
15,200000,0.9565
20,200000,0.91
20,200000,0.991
20,200000,0.915
20,200000,0.8594999999999999
20,200000,0.855
5,300000,0.9805
5,300000,0.987
5,300000,0.9895
5,300000,0.963
5,300000,0.9835
10,300000,0.992
10,300000,0.989
10,300000,0.9755
10,300000,0.997
10,300000,0.996
15,300000,0.98
15,300000,0.9905
15,300000,0.9675
15,300000,0.991
15,300000,0.967
20,300000,0.958
20,300000,0.9825
20,300000,0.979
20,300000,0.895
20,300000,0.9235
5,400000,0.9725
5,400000,0.9995
5,400000,0.9945
5,400000,0.986
5,400000,0.9565
10,400000,0.9945
10,400000,0.9715
10,400000,0.977
10,400000,0.997
10,400000,1.0
15,400000,0.963
15,400000,0.996
15,400000,0.9855
15,400000,0.989
15,400000,0.9825
20,400000,0.963
20,400000,0.999
20,400000,0.994
20,400000,0.8895
20,400000,0.923
5,500000,0.997
5,500000,0.9885
5,500000,0.99
5,500000,0.985
5,500000,0.986
10,500000,0.9895
10,500000,0.992
10,500000,0.971
10,500000,0.991
10,500000,0.9915
15,500000,0.962
15,500000,0.9885
15,500000,0.988
15,500000,0.979
15,500000,0.9855
20,500000,0.97
20,500000,0.985
20,500000,0.993
20,500000,0.937
20,500000,0.957
5,600000,0.993
5,600000,0.9965
5,600000,0.991
5,600000,0.99
5,600000,0.9925
10,600000,0.994
10,600000,0.9915
10,600000,0.9925
10,600000,0.978
10,600000,0.981
15,600000,0.9715
15,600000,0.994
15,600000,0.9805
15,600000,0.981
15,600000,0.9895
20,600000,0.974
20,600000,0.9755
20,600000,0.997
20,600000,0.9775
20,600000,0.9390000000000001
5,700000,0.995
5,700000,0.997
5,700000,0.9915
5,700000,0.9355
5,700000,0.996
10,700000,0.9905
10,700000,0.9845
10,700000,0.991
10,700000,0.9875
10,700000,0.9745
15,700000,0.971
15,700000,0.9985
15,700000,0.9975
15,700000,0.98
15,700000,0.976
20,700000,0.983
20,700000,0.993
20,700000,0.9975
20,700000,0.974
20,700000,0.9555
5,800000,0.9995
5,800000,0.999
5,800000,0.9915
5,800000,0.9995
5,800000,0.983
10,800000,0.9805
10,800000,0.995
10,800000,0.979
10,800000,0.992
10,800000,0.973
15,800000,0.98
15,800000,0.986
15,800000,0.9815
15,800000,0.9855
15,800000,0.9785
20,800000,0.981
20,800000,0.9835
20,800000,0.997
20,800000,0.952
20,800000,0.8614999999999999
5,900000,0.999
5,900000,1.0
5,900000,0.9885
5,900000,0.9965
5,900000,0.991
10,900000,0.9945
10,900000,0.9965
10,900000,0.992
10,900000,0.995
10,900000,0.99
15,900000,0.9875
15,900000,0.997
15,900000,0.9945
15,900000,0.996
15,900000,0.9895
20,900000,0.969
20,900000,0.963
20,900000,0.9955
20,900000,0.947
20,900000,0.986
5,1000000,0.9995
5,1000000,0.999
5,1000000,0.992
5,1000000,0.9895
5,1000000,0.989
10,1000000,0.9945
10,1000000,0.985
10,1000000,0.9715
10,1000000,0.977
10,1000000,0.987
15,1000000,0.971
15,1000000,0.983
15,1000000,0.9895
15,1000000,0.9845
15,1000000,0.9825
20,1000000,0.991
20,1000000,0.944
20,1000000,0.9645
20,1000000,0.9525
20,1000000,0.973
