hypervolume,non_dominated,ordering,architecture_idx,clip_range,entropy,env_name,lr,n_epochs,n_steps,scalarization_method,seed,target_kl,total_timesteps,wandb_run_name
12252.754017683113,0.15757575757575756,0.8240869230661574,0,0.27008593094988553,0.08168540767266697,problem_6a,5.848899008517058e-05,10,4096,smooth_tchebycheff,7,0.006169545416874676,100000,fearless-sweep-3
3188.248053317353,0.00202020202020202,0.8046125098480654,0,0.2328386173989561,0.1997356888635321,problem_6a,5.291994292530113e-05,10,2048,linear,8,0.007951380620168536,100000,rare-sweep-4
37104.2801103809,0.10707070707070707,0.9236635738895077,0,0.2777466733858846,0.17632901839030876,problem_6a,5.400227888422088e-05,10,4096,augmented_tchebycheff,9,0.029968164802872475,100000,vibrant-sweep-2
12486.013810512943,0.2222222222222222,0.4320902464213964,0,0.09178782954878983,0.08389069932625587,problem_6a,7.390875869255553e-05,20,2048,pbi,4,0.013644034614964638,100000,feasible-sweep-1
45127.42234806329,0.2909090909090909,0.9860766208440083,0,0.17176559445402906,0.03860700067373833,problem_6a,8.059124393887634e-05,10,2048,tchebycheff,7,0.011702748689813,100000,apricot-sweep-5
3438.903046237624,0.9878787878787879,0.7838095238095238,0,0.29865233409069636,0.03504511334211755,problem_6a,5.177641800286004e-05,10,4096,pbi,8,0.009896964310738034,100000,hopeful-sweep-6
31474.002359400627,0.10101010101010101,0.9630501794374916,0,0.25318854101767424,0.16015044431370373,problem_6a,6.880041056408553e-05,10,4096,augmented_tchebycheff,9,0.026958546484847995,100000,classic-sweep-8
4682.093488532861,0.07272727272727272,0.2993407258583996,0,0.2782369670714994,0.16998503347235316,problem_6a,5.172213342994743e-05,20,4096,pbi,9,0.02934313935720935,100000,clear-sweep-7
40411.45753746301,0.19595959595959597,0.9772787216446105,0,0.18409276854027185,0.0444203417773176,problem_6a,8.176579161854922e-05,10,2048,smooth_tchebycheff,5,0.012405183045455829,100000,noble-sweep-10
4663.8704972885225,0.010101010101010102,0.8007698699090597,0,0.08859188021475216,0.16934243680977526,problem_6a,6.252831003259142e-05,10,4096,linear,8,0.01626757664430722,100000,jumping-sweep-9
30802.995449164828,0.12121212121212122,0.9672672208048675,0,0.15599396742920862,0.041375237946349654,problem_6a,7.256597186968749e-05,20,4096,augmented_tchebycheff,8,0.011770392452320134,100000,desert-sweep-11
39961.51076538158,0.11515151515151516,0.9493832610997676,0,0.12764346388324166,0.030176909703923196,problem_6a,9.367148574479152e-05,10,2048,tchebycheff,9,0.009530462226938352,100000,easy-sweep-12
35449.78934219748,0.2505050505050505,0.9673743933341573,0,0.18838619519808847,0.032425783755461283,problem_6a,9.17726391121335e-05,10,2048,tchebycheff,5,0.012250798118341254,100000,summer-sweep-14
35134.415497518945,0.28888888888888886,0.9729308954210693,0,0.15494342792192894,0.07020319707591514,problem_6a,7.842505311273889e-05,20,2048,augmented_tchebycheff,6,0.01881884826848965,100000,sunny-sweep-13
1224.9156173548315,0.04242424242424243,0.8804019160798379,0,0.2332150028696766,0.007808287992730922,problem_6a,8.466458029493415e-05,10,2048,augmented_tchebycheff,6,0.005335298040026308,100000,wise-sweep-16
993.6054247447032,0.13737373737373737,0.8987854269913094,0,0.20200255287389973,0.00938355209897297,problem_6a,7.667470996642928e-05,10,4096,linear,7,0.01229358855623107,100000,celestial-sweep-15
44944.88352665252,0.19797979797979798,0.9670330017719997,0,0.16608848184343988,0.037440148036485675,problem_6a,7.756366676521364e-05,10,2048,augmented_tchebycheff,7,0.012440130493641916,100000,ruby-sweep-17
48693.70024637324,0.3434343434343434,0.9904393213716479,0,0.1982906846289269,0.02903745345454716,problem_6a,8.415881871473609e-05,20,2048,tchebycheff,9,0.015866508174506487,100000,swept-sweep-18
36865.58780425053,0.04040404040404041,0.9451879357679625,0,0.13104893668244233,0.02509801255979576,problem_6a,7.463547448065743e-05,10,4096,augmented_tchebycheff,6,0.015599591514362111,100000,radiant-sweep-19
41304.12046543896,0.23232323232323232,0.9627793550250499,0,0.1724370079317279,0.04722242723524488,problem_6a,8.847807084007183e-05,20,2048,smooth_tchebycheff,5,0.01386080597647359,100000,sandy-sweep-20
40926.73469385853,0.2505050505050505,0.995331671731017,0,0.16663618269509045,0.08346139619212473,problem_6a,9.30798481392507e-05,10,2048,augmented_tchebycheff,9,0.009558130557100298,100000,still-sweep-21
47558.88747413419,0.2222222222222222,0.9770763562480822,0,0.17941432302506044,0.019182676276799305,problem_6a,8.530677157438378e-05,20,2048,tchebycheff,10,0.01665936616029587,100000,cerulean-sweep-23
3981.4765831406585,0.028282828282828285,0.945945957634651,0,0.17042674150908088,0.04026628721398011,problem_6a,7.888597301611271e-05,20,2048,linear,9,0.020487566054676828,100000,revived-sweep-22
