hypervolume,non_dominated,ordering,architecture_idx,clip_range,entropy,env_name,lr,n_epochs,n_steps,scalarization_method,seed,target_kl,total_timesteps,wandb_run_name
21121.842415948646,0.2606060606060606,0.92720924607791,0,0.13694327353241792,0.06677370849884566,problem_6d,6.67796776820341e-05,10,4096,smooth_tchebycheff,6,0.02837139745981742,100000,easy-sweep-3
127.30923848423777,1.0,1.0,0,0.2176528343179105,0.1424753279215746,problem_6d,5.039933260156767e-05,10,4096,linear,6,0.02882428103255973,100000,vibrant-sweep-4
179920.65854671312,0.2828282828282828,0.6482605630918389,0,0.2911059667492535,0.10545909728343468,problem_6d,8.4427722354392e-05,20,4096,smooth_tchebycheff,3,0.022314185755595514,100000,jumping-sweep-2
54578.75483708053,0.12525252525252525,0.5974207471866166,0,0.22360878679982552,0.10655242886333668,problem_6d,8.306608785664485e-05,20,2048,augmented_tchebycheff,6,0.019236450363029463,100000,morning-sweep-1
52512.462913439864,0.2404040404040404,0.8485293825534369,0,0.09876845520702686,0.04184059873546342,problem_6d,6.869382344317214e-05,10,2048,tchebycheff,2,0.025659630389815315,100000,dark-sweep-6
113028.79938643883,0.022222222222222223,0.5915743942740811,0,0.2645696962017512,0.1915553034073579,problem_6d,8.630799667765478e-05,10,4096,augmented_tchebycheff,7,0.019592522635970454,100000,hardy-sweep-5
79820.42387772354,0.03838383838383838,0.6206646923627581,0,0.2374599758176829,0.0769099969399963,problem_6d,8.976297363573395e-05,20,4096,augmented_tchebycheff,1,0.027346141529663293,100000,ethereal-sweep-7
168876.56753313733,0.048484848484848485,0.669224926711289,0,0.17354611810719112,0.0023422443959906004,problem_6d,6.997763150592889e-05,20,4096,smooth_tchebycheff,1,0.02026596691712327,100000,robust-sweep-8
169540.29035297208,0.01616161616161616,0.6399978057197249,0,0.18792860347067103,0.083367870205981,problem_6d,8.711954585292604e-05,20,4096,tchebycheff,6,0.028364935151580287,100000,treasured-sweep-9
300094.2908199027,0.05454545454545454,0.6154557629209455,0,0.24927089228156651,0.18714273693255767,problem_6d,8.26091246894732e-05,20,4096,smooth_tchebycheff,2,0.02133861623140808,100000,gallant-sweep-10
136248.20066241222,0.03636363636363636,0.7071788736304292,0,0.2679915494277789,0.19293622693241408,problem_6d,7.91397090325044e-05,20,4096,augmented_tchebycheff,10,0.014791850733025191,100000,cool-sweep-11
79228.85665989724,0.06868686868686869,0.4508013833458017,0,0.2830371912531294,0.03073470728530328,problem_6d,8.358560815575188e-05,20,4096,pbi,4,0.024475592818391127,100000,peach-sweep-12
495.0511094082454,0.1595959595959596,0.786938775510204,0,0.258218897815856,0.008952594671750247,problem_6d,6.65249453581181e-05,10,4096,pbi,2,0.01241769699623995,100000,lively-sweep-13
187356.9643238907,0.10303030303030303,0.6280083118884988,0,0.29303510439417024,0.184009537615657,problem_6d,7.785485658466125e-05,20,4096,smooth_tchebycheff,2,0.025954610097616397,100000,comic-sweep-15
98015.64272871846,0.050505050505050504,0.5931365142786561,0,0.197908527620996,0.15055135212399587,problem_6d,8.544802439365642e-05,20,4096,pbi,3,0.028609410805458643,100000,eager-sweep-14
45306.23251885969,0.24646464646464647,0.5440944374835612,0,0.20429934507787728,0.1961977141493726,problem_6d,9.408996013719406e-05,20,4096,pbi,2,0.023274769592463215,100000,feasible-sweep-16
51523.38042457132,0.08484848484848485,0.5082963026583648,0,0.18202380973322985,0.1402041107811117,problem_6d,8.108445975025261e-05,20,4096,pbi,3,0.020318617851370704,100000,distinctive-sweep-17
219833.7076274292,0.07272727272727272,0.6073330717195748,0,0.1883094853824463,0.17270614039515036,problem_6d,8.166493445932086e-05,20,4096,smooth_tchebycheff,1,0.009429680093951495,100000,treasured-sweep-18
21567.66035136304,0.020202020202020204,0.8160967275577531,0,0.21964994177313363,0.1459085239477004,problem_6d,7.166724187204662e-05,20,4096,pbi,2,0.01604765600557605,100000,distinctive-sweep-19
141056.69124809725,0.050505050505050504,0.6977362113319768,0,0.20109317630907184,0.012885245981247918,problem_6d,5.583587880470172e-05,20,4096,smooth_tchebycheff,3,0.01900132044104173,100000,eager-sweep-21
91040.61171248554,0.05858585858585859,0.6996298092875602,0,0.23659246923631644,0.12501900971823685,problem_6d,9.599233518769737e-05,20,4096,smooth_tchebycheff,2,0.016950568703609482,100000,lemon-sweep-20
