problem,hypervolume,normalized_hv,percent_non_dominated,ordering_score,pref_grid_step,tau,learning_rate,gamma,batch_size,seed
problem_0,424.79259906167573,0.9477217059105314,0.6909090909090909,0.978157894736842,0.1,0.01,0.0003,0.99,256.0,2.0
problem_1a,140.92053022606927,0.6642475692998481,0.5714285714285714,0.9361796485706142,0.05,0.005,0.0003,0.99,32.0,2.0
problem_1b,34.468126681427044,0.42840167271344926,0.8571428571428571,0.9616239048811014,0.05,0.005,0.0003,0.99,32.0,2.0
problem_1c,0.36494169021407263,0.18814870857138277,0.6761904761904762,0.9888330310788707,0.05,0.005,0.0003,0.99,32.0,2.0
problem_2a,50.798613440159,0.26897555572259274,0.19047619047619044,0.9333730975913527,0.05,0.005,0.0003,0.99,32.0,2.0
problem_2b,231.03951701407655,0.8339273107912675,0.2952380952380952,0.8340400772610387,0.05,0.005,0.0003,0.99,32.0,2.0
problem_2c,24.010670699925104,0.07260450293569357,0.26666666666666666,0.8864291491220111,0.05,0.005,0.0003,0.99,32.0,2.0
problem_3a,13672.437257292913,0.28857220260123456,0.05061170713344619,0.7806887065853981,0.05,0.005,0.0003,0.99,32.0,2.0
problem_3b,8.543518616716876,0.013201530779538059,0.080764163372859,0.714058247155488,0.05,0.005,0.0003,0.99,32.0,2.0
problem_4a,17.680802243384242,0.433645416282575,0.01462450592885368,0.8403423609289039,0.05,0.005,0.0003,0.99,32.0,2.0
problem_4b,166176.09479096156,0.3740840675209304,0.18140410314323355,0.5870281917744736,0.05,0.005,0.0003,0.99,32.0,2.0
problem_5a,1590.3428073758857,0.39576583030348167,0.0337662337662337,0.7879454472997984,0.05,0.005,0.0003,0.99,32.0,2.0
problem_5b,1521.065714820881,0.6072907381094189,0.12265512265512264,0.5190665246480552,0.05000000000000001,0.005,0.0003,0.9899999999999999,32.0,1.0
problem_5c,39180.09917573786,0.6318433021774432,0.03030303030303024,0.5305717250804983,0.05,0.005,0.0003,0.99,32.0,2.0
problem_5d,82069.73892454438,0.5612347455756017,0.06670431018257102,0.5693990388819907,0.05,0.005,0.0003,0.99,32.0,2.0
problem_5e,186155.10663769676,0.4099644788094546,0.4037455298324863,0.5684341444480409,0.05,0.005,0.0003,0.99,32.0,2.0
