problem,config,checkpoint,hypervolume,normalized_hv,percent_non_dominated,ordering_score,pref_grid_step,tau,learning_rate,gamma,batch_size,seed,timestamp
problem_0,graphallocbench/config/problems/problem_0.yml,pdmorl/checkpoints/problem_0/seed-0/ddqn_step_1000000.pt,420.12698838772906,0.9373126250630913,0.36363636363636365,0.925,0.1,0.01,0.0003,0.99,256,0,2025-11-22T21:56:46.597594
problem_0,graphallocbench/config/problems/problem_0.yml,pdmorl/checkpoints/problem_0/seed-1/ddqn_step_1000000.pt,412.6781536387219,0.9206941096017385,0.8181818181818182,1.0,0.1,0.01,0.0003,0.99,256,1,2025-11-22T21:56:48.041192
problem_0,graphallocbench/config/problems/problem_0.yml,pdmorl/checkpoints/problem_0/seed-2/ddqn_step_1000000.pt,421.4700039369805,0.940308922527342,0.18181818181818182,1.0,0.1,0.01,0.0003,0.99,256,2,2025-11-22T21:56:49.451794
problem_0,graphallocbench/config/problems/problem_0.yml,pdmorl/checkpoints/problem_0/seed-3/ddqn_step_1000000.pt,386.0106069841734,0.8611982218114997,0.36363636363636365,0.9499999999999998,0.1,0.01,0.0003,0.99,256,3,2025-11-22T21:56:50.669620
problem_0,graphallocbench/config/problems/problem_0.yml,pdmorl/checkpoints/problem_0/seed-4/ddqn_step_1000000.pt,412.7620102987755,0.9208811956693713,0.18181818181818182,0.9407894736842106,0.1,0.01,0.0003,0.99,256,4,2025-11-22T21:56:52.127031
problem_1a,graphallocbench/config/problems/problem_1a.yml,pdmorl/checkpoints/problem_1a/seed-0/ddqn_step_1000000.pt,138.87479899224536,0.6546047443876202,1.0,1.0,0.1,0.01,0.0003,0.99,256,0,2025-11-22T21:57:01.085286
problem_1a,graphallocbench/config/problems/problem_1a.yml,pdmorl/checkpoints/problem_1a/seed-1/ddqn_step_1000000.pt,137.04174973395718,0.645964424114403,0.8181818181818182,0.96875,0.1,0.01,0.0003,0.99,256,1,2025-11-22T21:57:02.565404
problem_1a,graphallocbench/config/problems/problem_1a.yml,pdmorl/checkpoints/problem_1a/seed-2/ddqn_step_1000000.pt,129.32505791543036,0.6095907759648431,1.0,1.0,0.1,0.01,0.0003,0.99,256,2,2025-11-22T21:57:04.025663
problem_1a,graphallocbench/config/problems/problem_1a.yml,pdmorl/checkpoints/problem_1a/seed-3/ddqn_step_1000000.pt,112.21295417587437,0.528930610292942,0.5454545454545454,0.9210526315789472,0.1,0.01,0.0003,0.99,256,3,2025-11-22T21:57:05.534449
problem_1a,graphallocbench/config/problems/problem_1a.yml,pdmorl/checkpoints/problem_1a/seed-4/ddqn_step_1000000.pt,104.14527334484028,0.49090252898140846,0.5454545454545454,0.8585526315789472,0.1,0.01,0.0003,0.99,256,4,2025-11-22T21:57:07.047196
problem_1b,graphallocbench/config/problems/problem_1b.yml,pdmorl/checkpoints/problem_1b/seed-0/ddqn_step_1000000.pt,33.042126330853264,0.41067802497587286,0.5454545454545454,0.9210526315789472,0.1,0.01,0.0003,0.99,256,0,2025-11-22T21:57:18.320424
problem_1b,graphallocbench/config/problems/problem_1b.yml,pdmorl/checkpoints/problem_1b/seed-1/ddqn_step_1000000.pt,56.9750930716229,0.7081390120351374,1.0,1.0,0.1,0.01,0.0003,0.99,256,1,2025-11-22T21:57:19.854395
problem_1b,graphallocbench/config/problems/problem_1b.yml,pdmorl/checkpoints/problem_1b/seed-2/ddqn_step_1000000.pt,28.999159241484435,0.36042830064883774,1.0,1.0,0.1,0.01,0.0003,0.99,256,2,2025-11-22T21:57:21.340522
problem_1b,graphallocbench/config/problems/problem_1b.yml,pdmorl/checkpoints/problem_1b/seed-3/ddqn_step_1000000.pt,40.7662713392338,0.5066808240967928,0.6363636363636364,0.9375,0.1,0.01,0.0003,0.99,256,3,2025-11-22T21:57:22.834462
problem_1b,graphallocbench/config/problems/problem_1b.yml,pdmorl/checkpoints/problem_1b/seed-4/ddqn_step_1000000.pt,33.40158564589934,0.4151457169180969,0.8181818181818182,0.9473684210526316,0.1,0.01,0.0003,0.99,256,4,2025-11-22T21:57:24.360291
problem_1c,graphallocbench/config/problems/problem_1c.yml,pdmorl/checkpoints/problem_1c/seed-0/ddqn_step_1000000.pt,0.2863365861156399,0.14762319663394471,0.36363636363636365,0.9375,0.1,0.01,0.0003,0.99,256,0,2025-11-22T21:57:40.830059
problem_1c,graphallocbench/config/problems/problem_1c.yml,pdmorl/checkpoints/problem_1c/seed-1/ddqn_step_1000000.pt,0.12587993237043976,0.06489844088971657,0.36363636363636365,1.0,0.1,0.01,0.0003,0.99,256,1,2025-11-22T21:57:42.263898
problem_1c,graphallocbench/config/problems/problem_1c.yml,pdmorl/checkpoints/problem_1c/seed-2/ddqn_step_1000000.pt,0.12587993237043976,0.06489844088971657,0.36363636363636365,1.0,0.1,0.01,0.0003,0.99,256,2,2025-11-22T21:57:43.693493
problem_1c,graphallocbench/config/problems/problem_1c.yml,pdmorl/checkpoints/problem_1c/seed-3/ddqn_step_1000000.pt,0.12587993237043976,0.06489844088971657,1.0,1.0,0.1,0.01,0.0003,0.99,256,3,2025-11-22T21:57:44.949462
problem_1c,graphallocbench/config/problems/problem_1c.yml,pdmorl/checkpoints/problem_1c/seed-4/ddqn_step_1000000.pt,0.12587993237043976,0.06489844088971657,0.2727272727272727,1.0,0.1,0.01,0.0003,0.99,256,4,2025-11-22T21:57:46.463682
