problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
0,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,432.70752597868733,0.9653800833316932,1.0,1.0,2026-05-26T13:14:17
0,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,300.7617632514928,0.6710061615267909,0.6923076923076923,0.9472822625587135,2026-05-26T13:14:32
0,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,430.1805288836852,0.9597422967906932,1.0,1.0,2026-05-26T13:21:33
0,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,344.52905810638526,0.768651966643432,0.3076923076923077,0.7373307447232179,2026-05-26T13:52:44
0,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,385.43239863376186,0.85990822616319,0.46153846153846156,0.9654088050314469,2026-05-26T13:53:22
0,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,437.0813092477359,0.9751380907691622,1.0,1.0,2026-05-26T14:06:29
0,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,417.23766550883323,0.9308664816656732,1.0,0.9860669095092023,2026-05-26T14:25:50
0,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,425.3619123691293,0.9489918565208039,0.6923076923076923,0.8655660377358491,2026-05-26T14:45:21
0,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,391.3393276733879,0.8730867158037641,0.6923076923076923,0.9371069182389936,2026-05-26T14:56:45
0,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,385.9024231002927,0.8609568611681883,0.46153846153846156,0.860715663580247,2026-05-26T15:23:16
