problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1c,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,0.6301771372612208,0.3248930383299289,0.23076923076923078,0.7160493827160493,2026-05-12T04:01:30
1c,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-05-12T04:06:10
1c,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-05-12T04:36:43
1c,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-05-12T04:38:08
1c,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-05-12T04:41:20
1c,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,0.6463548860692494,0.33323361061159207,0.3076923076923077,0.9259259259259259,2026-05-12T04:43:08
1c,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-05-12T05:29:27
1c,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,0.12587993237043976,0.06489844088971657,0.3076923076923077,0.9259259259259259,2026-05-12T05:32:48
1c,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-05-12T05:49:57
1c,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,0.12587993237043976,0.06489844088971657,0.3076923076923077,0.9259259259259259,2026-05-12T05:56:16
1c,10,0,500000,0.0001,0.99,256,0.001,5000,0.8,0.05,200000,5,500000,0.12587993237043976,0.06489844088971657,0.8461538461538461,1.0,2026-05-12T06:20:43
1c,11,0,500000,0.001,0.99,256,0.005,5000,1.0,0.05,200000,7,500000,0.12587993237043976,0.06489844088971657,1.0,0.9999999999999998,2026-05-12T06:24:11
1c,13,0,500000,0.0006,0.99,64,0.005,20000,0.5,0.05,100000,7,500000,0.12587993237043976,0.06489844088971657,0.3076923076923077,0.935077519379845,2026-05-12T06:28:01
1c,15,0,500000,0.0003,0.95,32,0.005,5000,0.5,0.05,100000,7,500000,0.12587993237043976,0.06489844088971657,0.3076923076923077,0.9259259259259259,2026-05-12T06:54:32
1c,12,0,1000000,0.001,0.99,128,0.005,10000,0.5,0.05,200000,5,1000000,0.019052483154296876,0.009822665364585283,0.07692307692307693,0.5632716049382716,2026-05-12T07:03:04
1c,17,0,500000,0.001,0.99,128,0.01,5000,1.0,0.05,200000,3,500000,0.12587993237043976,0.06489844088971657,0.3076923076923077,0.8285714285714285,2026-05-12T07:31:04
1c,14,0,1000000,0.0001,0.95,128,0.01,10000,1.0,0.05,100000,7,1000000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-05-12T07:33:28
1c,19,0,500000,0.0001,0.95,64,0.05,10000,1.0,0.05,200000,7,500000,0.12587993237043976,0.06489844088971657,0.3076923076923077,0.9259259259259259,2026-05-12T08:03:03
1c,16,0,1000000,0.0006,0.99,256,0.01,10000,0.5,0.05,200000,3,1000000,0.12587993237043976,0.06489844088971657,0.15384615384615385,0.7491319444444444,2026-05-12T08:09:20
1c,18,0,1000000,0.0003,0.95,256,0.01,5000,0.5,0.05,200000,7,1000000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-05-12T08:46:06
