problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2a,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,61.98872295978328,0.3282265022111865,0.047619047619047616,0.9407894736842106,2026-04-22T08:15:04
2a,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,119.25128267318672,0.6314282586755581,0.14285714285714285,1.0,2026-04-22T08:18:25
2a,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,20.142581698641425,0.10665373991874938,0.23809523809523808,0.75,2026-04-22T08:48:35
2a,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,34.49773517859318,0.18266340087734287,0.2857142857142857,0.875,2026-04-22T08:50:59
2a,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,42.50593962752566,0.22506635434632266,1.0,1.0,2026-04-22T08:51:42
2a,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,69.3379243772509,0.3671400748761028,0.19047619047619047,0.9407894736842106,2026-04-22T08:51:54
2a,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,41.56180433292955,0.22006721562297035,0.23809523809523808,1.0,2026-04-22T09:40:45
2a,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,71.38877093260481,0.3779991821345696,0.047619047619047616,0.4375,2026-04-22T09:42:51
2a,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,20.084260047104028,0.10634493033575927,0.09523809523809523,0.875,2026-04-22T10:01:14
2a,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,33.08082107446498,0.17516092723171828,0.42857142857142855,0.6625,2026-04-22T10:04:45
2a,10,0,500000,0.0001,0.99,256,0.001,5000,0.8,0.05,200000,5,500000,26.516522334310057,0.14040336630651284,0.14285714285714285,0.975,2026-04-22T10:30:35
2a,11,0,500000,0.001,0.99,256,0.005,5000,1.0,0.05,200000,7,500000,91.36913557177546,0.48379399263056544,0.09523809523809523,0.7138888888888889,2026-04-22T10:33:49
2a,13,0,500000,0.0006,0.99,64,0.005,20000,0.5,0.05,100000,7,500000,102.23019067961962,0.5413026161052488,0.2857142857142857,1.0,2026-04-22T10:36:25
2a,15,0,500000,0.0003,0.95,32,0.005,5000,0.5,0.05,100000,7,500000,31.699183388228263,0.16784524006437904,0.14285714285714285,1.0,2026-04-22T11:03:42
2a,12,0,1000000,0.001,0.99,128,0.005,10000,0.5,0.05,200000,5,1000000,41.541432439006904,0.21995934768883038,0.3333333333333333,0.9736842105263157,2026-04-22T11:13:58
2a,17,0,500000,0.001,0.99,128,0.01,5000,1.0,0.05,200000,3,500000,99.09954272776753,0.5247260263994455,0.23809523809523808,0.9210526315789472,2026-04-22T11:39:44
2a,14,0,1000000,0.0001,0.95,128,0.01,10000,1.0,0.05,100000,7,1000000,34.91080548505295,0.1848505829224473,0.19047619047619047,1.0,2026-04-22T11:43:17
2a,19,0,500000,0.0001,0.95,64,0.05,10000,1.0,0.05,200000,7,500000,20.084260047104028,0.10634493033575927,0.14285714285714285,1.0,2026-04-22T12:11:14
2a,16,0,1000000,0.0006,0.99,256,0.01,10000,0.5,0.05,200000,3,1000000,42.653005874600865,0.225845061142753,0.2857142857142857,0.85,2026-04-22T12:18:53
2a,18,0,1000000,0.0003,0.95,256,0.01,5000,0.5,0.05,200000,7,1000000,40.87666802976119,0.21643946074128406,0.19047619047619047,1.0,2026-04-22T12:55:21
