problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
4b,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,133917.18106929664,0.3014650444659758,0.17033690946734426,0.5878947368421054,2026-04-23T12:30:06
4b,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,67849.39228315387,0.15273783317650777,0.06804065499717674,0.5498771929824562,2026-04-23T12:38:40
4b,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,189338.66523331596,0.4262260352101801,0.2490118577075099,0.6104824561403509,2026-04-23T13:04:46
4b,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,282962.1263696428,0.6369846596761212,0.12205910031996989,0.5964356725146199,2026-04-23T13:10:31
4b,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,170582.6852921262,0.3840038775913764,0.1422924901185771,0.5343421052631578,2026-04-23T13:11:05
4b,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,180767.46318194226,0.4069311412547349,0.053642010163749296,0.6588684210526315,2026-04-23T13:12:54
4b,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,143170.9875529046,0.3222965700460793,0.014775079992471296,0.5018830409356725,2026-04-23T14:03:45
4b,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,126196.98715631592,0.2840858808464969,0.12168266516092603,0.48675438596491216,2026-04-23T14:06:45
4b,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,89988.78693310115,0.2025764986808428,0.08705063052889139,0.5639970760233919,2026-04-23T14:19:57
4b,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,177930.7252672136,0.40054527414811264,0.2243553547901374,0.5451315789473684,2026-04-23T14:26:50
4b,10,0,500000,0.0001,0.99,256,0.001,5000,0.8,0.05,200000,5,500000,104782.57816068805,0.23587925262648535,0.15377376246941465,0.7267368421052631,2026-04-23T14:56:55
4b,11,0,500000,0.001,0.99,256,0.005,5000,1.0,0.05,200000,7,500000,155225.8305921825,0.3494335943162195,0.11368341803124411,0.5949210526315789,2026-04-23T14:58:43
4b,13,0,500000,0.0006,0.99,64,0.005,20000,0.5,0.05,100000,7,500000,272211.99007252074,0.612784700485297,0.11405985319028797,0.3693187134502924,2026-04-23T15:01:39
4b,15,0,500000,0.0003,0.95,32,0.005,5000,0.5,0.05,100000,7,500000,296802.50412569306,0.6681411555218226,0.08865047995482778,0.6897602339181287,2026-04-23T15:35:24
4b,12,0,1000000,0.001,0.99,128,0.005,10000,0.5,0.05,200000,5,1000000,77801.56592935305,0.17514147434359634,0.12064746847355542,0.4766637426900585,2026-04-23T15:35:40
4b,17,0,500000,0.001,0.99,128,0.01,5000,1.0,0.05,200000,3,500000,163093.70205793536,0.36714519937194734,0.1893468849990589,0.49784795321637426,2026-04-23T16:13:47
4b,14,0,1000000,0.0001,0.95,128,0.01,10000,1.0,0.05,100000,7,1000000,340928.49479455553,0.7674745168790214,0.0670995670995671,0.8305263157894737,2026-04-23T16:20:09
4b,16,0,1000000,0.0006,0.99,256,0.01,10000,0.5,0.05,200000,3,1000000,138209.81122868136,0.3111283149406229,0.07208733295689818,0.5968245614035088,2026-04-23T16:42:15
4b,19,0,500000,0.0001,0.95,64,0.05,10000,1.0,0.05,200000,7,500000,78146.01816174552,0.17591688125348992,0.08686241294936947,0.6751929824561403,2026-04-23T16:52:41
4b,18,0,1000000,0.0003,0.95,256,0.01,5000,0.5,0.05,200000,7,1000000,178328.3366145394,0.40144034916047966,0.052606813476378696,0.6454941520467837,2026-04-23T17:20:18
