problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5d,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,44862.82794595,0.3067949058689787,0.5241758241758242,0.4205001231751219,2026-05-27T18:54:20
5d,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,83508.73987987766,0.571075368265922,0.7274725274725274,0.643595969852818,2026-05-27T19:05:34
5d,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,18991.117316505068,0.1298709492072909,0.6038461538461538,0.5797579456864892,2026-05-27T19:14:26
5d,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,84898.41188861063,0.5805786544524647,0.6120879120879121,0.4213016834205146,2026-05-27T19:33:09
5d,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,31921.784916544857,0.21829745129843667,0.4307692307692308,0.5462873489212137,2026-05-27T19:42:56
5d,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,82057.72599261126,0.5611525950182168,0.6659340659340659,0.5728602945634543,2026-05-27T19:44:01
5d,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,80258.63143296454,0.5488494685469834,0.5307692307692308,0.6031862028472585,2026-05-27T20:19:15
5d,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,86197.54696403051,0.5894628028983611,0.47197802197802197,0.5647318209052482,2026-05-27T20:38:42
5d,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,14393.865831975092,0.09843259810397573,0.3335164835164835,0.5371389616403904,2026-05-27T20:38:59
5d,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,62778.92626650023,0.42931432672258046,0.5846153846153846,0.5574439942793673,2026-05-27T21:17:23
