problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5e,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,223052.18586131715,0.49122194268844727,0.3686813186813187,0.5103353262904887,2026-05-27T21:04:21
5e,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,130610.05209359062,0.2876390709927563,0.9159340659340659,0.6858326910308193,2026-05-27T21:18:43
5e,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,207447.37796807932,0.45685588606812666,0.9153846153846154,0.665837773848259,2026-05-27T21:27:33
5e,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,132228.70940631372,0.2912037972770218,0.5236263736263737,0.6038477489068841,2026-05-27T21:44:45
5e,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,263556.8094704753,0.5804242063664452,0.8807692307692307,0.698707792173598,2026-05-27T21:54:25
5e,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,138880.94504476944,0.305853840274472,0.36428571428571427,0.5436361494560493,2026-05-27T21:57:04
5e,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,279786.1599565044,0.6161656766575081,0.8060439560439561,0.5714388634228836,2026-05-27T22:26:32
5e,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,280497.37103973574,0.617731958057609,0.506043956043956,0.5531256895496696,2026-05-27T22:37:49
5e,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,130681.47163786214,0.28779635637038,0.7494505494505495,0.6175598845786423,2026-05-27T22:39:17
5e,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,288320.39950144227,0.6349604071930764,0.4747252747252747,0.5436445809686581,2026-05-27T22:55:28
