problem,config,checkpoint,scalarization,hypervolume,normalized_hv,percent_non_dominated,ordering_score,learning_rate,gamma,batch_size,tau,total_steps,seed,timestamp
problem_0,problem_0.yml,,smooth_tchebycheff,448.22504194395987,1.0000000054644864,1.0,1.0,0.0003,0.95,128,0.001,500000,0,2026-06-25T22:06:47
problem_0,problem_0.yml,,smooth_tchebycheff,440.92260726567764,0.9837081118065251,1.0,1.0,0.0003,0.95,128,0.001,500000,4,2026-06-25T22:07:24
problem_0,problem_0.yml,,smooth_tchebycheff,440.9226072656777,0.9837081118065252,0.9230769230769231,1.0,0.0003,0.95,128,0.001,500000,3,2026-06-25T22:07:44
problem_0,problem_0.yml,,smooth_tchebycheff,440.92260726567764,0.9837081118065251,1.0,1.0,0.0003,0.95,128,0.001,500000,1,2026-06-25T22:07:52
problem_0,problem_0.yml,,smooth_tchebycheff,448.22313580647494,0.9999957528294996,1.0,1.0,0.0003,0.95,128,0.001,500000,2,2026-06-25T22:08:44
problem_1a,problem_1a.yml,,smooth_tchebycheff,204.36698703636975,0.9633108402747792,1.0,1.0,0.0003,0.95,128,0.05,1000000,0,2026-06-25T23:52:59
problem_1a,problem_1a.yml,,smooth_tchebycheff,202.8732320482316,0.9562698284476981,0.9230769230769231,1.0,0.0003,0.95,128,0.05,1000000,3,2026-06-25T23:53:15
problem_1a,problem_1a.yml,,smooth_tchebycheff,177.96546224558176,0.838863759072651,0.6923076923076923,0.9769184307409114,0.0003,0.95,128,0.05,1000000,1,2026-06-25T23:53:27
problem_1a,problem_1a.yml,,smooth_tchebycheff,207.3566807425785,0.977403157228983,0.8461538461538461,1.0,0.0003,0.95,128,0.05,1000000,2,2026-06-25T23:54:23
problem_1a,problem_1a.yml,,smooth_tchebycheff,207.26780939343718,0.9769842503631571,0.9230769230769231,0.9968152866242036,0.0003,0.95,128,0.05,1000000,4,2026-06-25T23:56:41
problem_1b,problem_1b.yml,,smooth_tchebycheff,77.50949283760923,0.9633594738032382,0.8461538461538461,0.9562499999999996,0.0001,0.99,128,0.001,1000000,1,2026-06-26T01:56:40
problem_1b,problem_1b.yml,,smooth_tchebycheff,68.87748168243225,0.856072876770055,0.6923076923076923,0.8082822085889569,0.0001,0.99,128,0.001,1000000,0,2026-06-26T01:57:30
problem_1b,problem_1b.yml,,smooth_tchebycheff,73.12822913868463,0.9089050871588549,0.8461538461538461,0.7978395061728394,0.0001,0.99,128,0.001,1000000,2,2026-06-26T01:57:57
problem_1b,problem_1b.yml,,smooth_tchebycheff,72.88517259516216,0.9058841562341382,0.7692307692307693,0.90546875,0.0001,0.99,128,0.001,1000000,3,2026-06-26T02:00:03
problem_1b,problem_1b.yml,,smooth_tchebycheff,64.42307416657088,0.8007093912989797,0.8461538461538461,0.9103773584905662,0.0001,0.99,128,0.001,1000000,4,2026-06-26T02:03:59
problem_1c,problem_1c.yml,,smooth_tchebycheff,0.2863365861156399,0.14762319663394474,0.6153846153846154,0.9466860056258792,0.001,0.99,32,0.01,1000000,0,2026-06-26T03:35:41
problem_1c,problem_1c.yml,,smooth_tchebycheff,0.2863365861156399,0.14762319663394474,0.6923076923076923,0.9965277777777777,0.001,0.99,32,0.01,1000000,2,2026-06-26T03:37:42
problem_1c,problem_1c.yml,,smooth_tchebycheff,0.12587993237043976,0.06489844088971657,0.38461538461538464,0.9579000904159131,0.001,0.99,32,0.01,1000000,1,2026-06-26T03:38:07
problem_1c,problem_1c.yml,,smooth_tchebycheff,1.2265485482470062,0.6323572547093983,0.7692307692307693,1.0,0.001,0.99,32,0.01,1000000,3,2026-06-26T03:41:10
problem_1c,problem_1c.yml,,smooth_tchebycheff,0.12587993237043976,0.06489844088971657,0.5384615384615384,0.9965277777777777,0.001,0.99,32,0.01,1000000,4,2026-06-26T03:44:48
problem_2a,problem_2a.yml,,smooth_tchebycheff,165.12373207824803,0.8743200766897996,0.8461538461538461,0.9969325153374233,0.0003,0.95,128,0.05,1000000,0,2026-06-26T05:34:34
problem_2a,problem_2a.yml,,smooth_tchebycheff,167.7378899299265,0.8881618828589798,0.8461538461538461,1.0,0.0003,0.95,128,0.05,1000000,1,2026-06-26T05:36:24
problem_2a,problem_2a.yml,,smooth_tchebycheff,172.93675037251919,0.915689531390526,1.0,1.0,0.0003,0.95,128,0.05,1000000,2,2026-06-26T05:37:37
problem_2a,problem_2a.yml,,smooth_tchebycheff,149.5776809070734,0.7920046851883288,0.7692307692307693,1.0,0.0003,0.95,128,0.05,1000000,3,2026-06-26T05:40:08
problem_2a,problem_2a.yml,,smooth_tchebycheff,168.6883451607508,0.8931944852586805,0.8461538461538461,1.0,0.0003,0.95,128,0.05,1000000,4,2026-06-26T05:45:10
problem_2b,problem_2b.yml,,smooth_tchebycheff,237.68841013126902,0.8579262077272449,0.9230769230769231,0.9969512195121949,0.0006,0.99,64,0.005,500000,0,2026-06-26T06:22:03
problem_2b,problem_2b.yml,,smooth_tchebycheff,257.6940128898313,0.9301355800667385,0.7692307692307693,0.9900306748466259,0.0006,0.99,64,0.005,500000,1,2026-06-26T06:24:01
problem_2b,problem_2b.yml,,smooth_tchebycheff,265.11998188595646,0.9569392993394924,0.9230769230769231,1.0,0.0006,0.99,64,0.005,500000,2,2026-06-26T06:24:55
problem_2b,problem_2b.yml,,smooth_tchebycheff,256.1816426796438,0.9246767441126031,0.7692307692307693,0.9625000000000001,0.0006,0.99,64,0.005,500000,3,2026-06-26T06:28:05
problem_2b,problem_2b.yml,,smooth_tchebycheff,246.94179153447337,0.8913258943653969,0.46153846153846156,0.9639570552147241,0.0006,0.99,64,0.005,500000,4,2026-06-26T06:33:03
problem_2c,problem_2c.yml,,smooth_tchebycheff,223.69180019047005,0.6764089252896311,0.6923076923076923,0.9797077922077921,0.0003,0.95,128,0.05,1000000,0,2026-06-26T08:21:43
problem_2c,problem_2c.yml,,smooth_tchebycheff,259.2411333895165,0.7839045341740664,0.7692307692307693,0.8359696705733292,0.0003,0.95,128,0.05,1000000,1,2026-06-26T08:25:20
problem_2c,problem_2c.yml,,smooth_tchebycheff,270.80120957203235,0.8188603917433817,0.6923076923076923,0.9842361820897869,0.0003,0.95,128,0.05,1000000,2,2026-06-26T08:25:25
problem_2c,problem_2c.yml,,smooth_tchebycheff,229.42374991283728,0.693741442387796,0.5384615384615384,0.9966887417218542,0.0003,0.95,128,0.05,1000000,3,2026-06-26T08:28:12
problem_2c,problem_2c.yml,,smooth_tchebycheff,253.7674567757562,0.7673529944549349,0.6153846153846154,0.9524117759877255,0.0003,0.95,128,0.05,1000000,4,2026-06-26T08:35:54
problem_3a,problem_3a.yml,,smooth_tchebycheff,28705.340932775496,0.6028765482157289,0.1620879120879121,0.7868017323908767,0.0001,0.95,32,0.01,500000,0,2026-06-26T09:12:17
problem_3a,problem_3a.yml,,smooth_tchebycheff,23882.63756474943,0.5015889597354899,0.06483516483516484,0.7881614778984691,0.0001,0.95,32,0.01,500000,1,2026-06-26T09:16:25
problem_3a,problem_3a.yml,,smooth_tchebycheff,28520.83976495803,0.5990016098390674,0.22252747252747251,0.8198959403055142,0.0001,0.95,32,0.01,500000,2,2026-06-26T09:16:59
problem_3a,problem_3a.yml,,smooth_tchebycheff,26815.051987385657,0.5631762402766659,0.17032967032967034,0.819558781648225,0.0001,0.95,32,0.01,500000,3,2026-06-26T09:19:33
problem_3a,problem_3a.yml,,smooth_tchebycheff,29749.82619741562,0.624813081646323,0.19065934065934065,0.8285090981831251,0.0001,0.95,32,0.01,500000,4,2026-06-26T09:25:59
problem_3b,problem_3b.yml,,smooth_tchebycheff,2.846427214512369,0.004398327891472384,0.09835164835164835,0.7122768351262753,0.001,0.99,256,0.005,500000,0,2026-06-26T10:33:08
problem_3b,problem_3b.yml,,smooth_tchebycheff,147.91570796862175,0.22856083606435249,0.07637362637362638,0.6266372045506283,0.001,0.99,256,0.005,500000,1,2026-06-26T10:37:08
problem_3b,problem_3b.yml,,smooth_tchebycheff,251.81651648496336,0.3891094078718509,0.1576923076923077,0.6283312134138804,0.001,0.99,256,0.005,500000,2,2026-06-26T10:38:04
problem_3b,problem_3b.yml,,smooth_tchebycheff,183.76404033585828,0.2839540389222025,0.0489010989010989,0.5593372659582208,0.001,0.99,256,0.005,500000,3,2026-06-26T10:40:21
problem_3b,problem_3b.yml,,smooth_tchebycheff,50.001523742147256,0.07726285617631036,0.053296703296703295,0.5069676266845035,0.001,0.99,256,0.005,500000,4,2026-06-26T10:47:28
problem_4a,problem_4a.yml,,smooth_tchebycheff,40.77248839288783,1.000000025939404,0.21593406593406594,0.9900600344852437,0.0003,0.95,128,0.05,1000000,0,2026-06-26T12:38:35
problem_4a,problem_4a.yml,,smooth_tchebycheff,40.77248839288782,1.0000000259394037,0.22967032967032966,0.9810393394288743,0.0003,0.95,128,0.05,1000000,1,2026-06-26T12:41:47
problem_4a,problem_4a.yml,,smooth_tchebycheff,39.90268514373483,0.9786669333075865,0.10329670329670329,0.9948191479656997,0.0003,0.95,128,0.05,1000000,2,2026-06-26T12:44:08
problem_4a,problem_4a.yml,,smooth_tchebycheff,40.62520794621138,0.9963877752207919,0.22747252747252747,0.9907911617567561,0.0003,0.95,128,0.05,1000000,3,2026-06-26T12:46:19
problem_4a,problem_4a.yml,,smooth_tchebycheff,40.647326173485965,0.9969302544444091,0.3274725274725275,0.9546252933033784,0.0003,0.95,128,0.05,1000000,4,2026-06-26T12:54:46
problem_4b,problem_4b.yml,,smooth_tchebycheff,392511.2836816967,0.8835941037862042,0.5505494505494506,0.7753213701926872,0.001,0.99,32,0.01,1000000,0,2026-06-26T14:32:12
problem_4b,problem_4b.yml,,smooth_tchebycheff,399939.2588748949,0.9003154449466855,0.4554945054945055,0.8232956691405322,0.001,0.99,32,0.01,1000000,1,2026-06-26T14:37:50
problem_4b,problem_4b.yml,,smooth_tchebycheff,358775.1165487925,0.8076495905906207,0.317032967032967,0.7477025930023131,0.001,0.99,32,0.01,1000000,2,2026-06-26T14:40:37
problem_4b,problem_4b.yml,,smooth_tchebycheff,397249.40203834575,0.8942602263081019,0.36923076923076925,0.8869521749686514,0.001,0.99,32,0.01,1000000,3,2026-06-26T14:42:59
problem_4b,problem_4b.yml,,smooth_tchebycheff,368896.30600557337,0.8304337083959241,0.328021978021978,0.6668809925008041,0.001,0.99,32,0.01,1000000,4,2026-06-26T14:52:47
problem_5a,problem_5a.yml,,smooth_tchebycheff,3284.8800120774113,0.8174610275203741,0.6593406593406593,0.8727590210061646,0.0001,0.95,128,0.01,1000000,0,2026-06-26T17:19:11
problem_5a,problem_5a.yml,,smooth_tchebycheff,3323.28452264762,0.827018207860817,0.46153846153846156,0.9127242703640788,0.0001,0.95,128,0.01,1000000,1,2026-06-26T17:26:12
problem_5a,problem_5a.yml,,smooth_tchebycheff,3223.6018689741236,0.802211613952274,0.45054945054945056,0.9476846345683989,0.0001,0.95,128,0.01,1000000,3,2026-06-26T17:28:23
problem_5a,problem_5a.yml,,smooth_tchebycheff,3573.4297613085455,0.8892682696814223,0.7472527472527473,0.842432165623726,0.0001,0.95,128,0.01,1000000,2,2026-06-26T17:29:06
problem_5a,problem_5a.yml,,smooth_tchebycheff,3360.683748892027,0.8363252174933805,0.6263736263736264,0.9609470650644029,0.0001,0.95,128,0.01,1000000,4,2026-06-26T17:42:24
problem_5b,problem_5b.yml,,smooth_tchebycheff,2427.898176868355,0.9693467294136756,0.37362637362637363,0.9806913435067941,0.001,0.99,32,0.01,1000000,0,2026-06-26T19:14:35
problem_5b,problem_5b.yml,,smooth_tchebycheff,2412.134637252006,0.9630530817983541,0.5934065934065934,0.9043138789600261,0.001,0.99,32,0.01,1000000,1,2026-06-26T19:24:09
problem_5b,problem_5b.yml,,smooth_tchebycheff,2425.5697688562122,0.9684171044760176,0.4945054945054945,0.9568805313734143,0.001,0.99,32,0.01,1000000,3,2026-06-26T19:26:00
problem_5b,problem_5b.yml,,smooth_tchebycheff,2466.4129446082006,0.9847238834057357,0.6263736263736264,0.8428788642014097,0.001,0.99,32,0.01,1000000,2,2026-06-26T19:26:53
problem_5b,problem_5b.yml,,smooth_tchebycheff,2493.240735424705,0.9954349715119576,0.4835164835164835,0.9828492354071786,0.001,0.99,32,0.01,1000000,4,2026-06-26T19:36:53
problem_5c,problem_5c.yml,,smooth_tchebycheff,60941.832616554406,0.9827869140523577,0.3626373626373626,0.6268717843602166,0.0006,0.99,256,0.01,1000000,0,2026-06-26T22:05:34
problem_5c,problem_5c.yml,,smooth_tchebycheff,59291.79826221804,0.9561774062388676,0.15384615384615385,0.6282141875813347,0.0006,0.99,256,0.01,1000000,2,2026-06-26T22:14:39
problem_5c,problem_5c.yml,,smooth_tchebycheff,46425.06834320498,0.7486803020638777,0.14285714285714285,0.7066439786109714,0.0006,0.99,256,0.01,1000000,1,2026-06-26T22:16:28
problem_5c,problem_5c.yml,,smooth_tchebycheff,60987.15467683405,0.9835178065419384,0.3516483516483517,0.7001129643008042,0.0006,0.99,256,0.01,1000000,3,2026-06-26T22:18:18
problem_5c,problem_5c.yml,,smooth_tchebycheff,58967.92725538843,0.9509544555383886,0.31868131868131866,0.57291019889024,0.0006,0.99,256,0.01,1000000,4,2026-06-26T22:28:32
problem_5d,problem_5d.yml,,smooth_tchebycheff,116564.31484443511,0.7971262543561709,0.2291208791208791,0.7828657997111498,0.0001,0.95,128,0.01,1000000,0,2026-06-27T00:52:05
problem_5d,problem_5d.yml,,smooth_tchebycheff,67750.511531505,0.463312563196535,0.1686813186813187,0.8451198092211817,0.0001,0.95,128,0.01,1000000,1,2026-06-27T01:02:00
problem_5d,problem_5d.yml,,smooth_tchebycheff,113396.71161033532,0.7754645673754319,0.12142857142857143,0.8452044819241695,0.0001,0.95,128,0.01,1000000,2,2026-06-27T01:04:34
problem_5d,problem_5d.yml,,smooth_tchebycheff,91646.53046638488,0.6267257320810798,0.18626373626373627,0.7936044714626667,0.0001,0.95,128,0.01,1000000,3,2026-06-27T01:06:01
problem_5d,problem_5d.yml,,smooth_tchebycheff,91547.18669001377,0.6260463686544773,0.27912087912087913,0.7325860607552838,0.0001,0.95,128,0.01,1000000,4,2026-06-27T01:17:02
problem_5e,problem_5e.yml,,smooth_tchebycheff,437823.41853505623,0.964206960702041,0.6104395604395605,0.8793855666935524,0.0003,0.95,128,0.05,1000000,0,2026-06-27T02:56:25
problem_5e,problem_5e.yml,,smooth_tchebycheff,401934.9714475272,0.8851707807590723,0.7027472527472527,0.8750886748859412,0.0003,0.95,128,0.05,1000000,1,2026-06-27T03:05:29
problem_5e,problem_5e.yml,,smooth_tchebycheff,362949.6166187849,0.7993143626234526,0.6791208791208792,0.8601225621137856,0.0003,0.95,128,0.05,1000000,2,2026-06-27T03:06:47
problem_5e,problem_5e.yml,,smooth_tchebycheff,440218.51002706453,0.9694816074896425,0.7302197802197802,0.8575091014670854,0.0003,0.95,128,0.05,1000000,3,2026-06-27T03:09:37
problem_5e,problem_5e.yml,,smooth_tchebycheff,399517.22153047816,0.879846233919948,0.771978021978022,0.8462595225242867,0.0003,0.95,128,0.05,1000000,4,2026-06-27T03:17:50
