problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
0,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,409.84756189552735,0.9143789966701051,0.6153846153846154,0.9930555555555556,2026-06-17T10:27:37
0,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,448.22504194395987,1.0000000054644864,1.0,1.0,2026-06-17T10:37:16
0,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,420.126393630096,0.9373112981456266,1.0,1.0,2026-06-17T10:52:59
0,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,448.22504194395987,1.0000000054644864,1.0,1.0,2026-06-17T10:56:00
0,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,444.9010524296984,0.9925841111672621,1.0,1.0,2026-06-17T11:29:48
0,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,444.78539824024955,0.9923260841066158,1.0,1.0,2026-06-17T11:34:03
0,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,448.22504194395987,1.0000000054644864,1.0,1.0,2026-06-17T11:48:36
0,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,396.15788331570025,0.8838370202663286,0.7692307692307693,1.0,2026-06-17T12:09:19
0,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,448.22504194395987,1.0000000054644864,1.0,1.0,2026-06-17T12:24:35
0,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,448.22504194395987,1.0000000054644864,1.0,1.0,2026-06-17T13:18:25
