problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1b,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,63.711065803113165,0.791859894582478,0.6153846153846154,0.9787735849056605,2026-06-20T19:41:05
1b,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,73.75492323540784,0.9166942194722316,1.0,0.9930124223602486,2026-06-20T19:48:57
1b,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,72.13705736798279,0.8965858901093725,0.8461538461538461,0.9281249999999999,2026-06-20T19:58:59
1b,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,62.57973331271019,0.7777986508205748,0.6923076923076923,0.9539062500000002,2026-06-20T20:05:28
1b,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,65.76811600862511,0.8174268120143939,0.8461538461538461,0.9927884615384615,2026-06-20T20:08:29
1b,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,72.13705736798279,0.8965858901093725,0.9230769230769231,1.0,2026-06-20T21:13:30
1b,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,48.99824790850011,0.6089954222937378,0.6923076923076923,0.9430379746835443,2026-06-20T21:14:23
1b,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,72.8499672911232,0.9054465922412334,0.9230769230769231,0.9875776397515528,2026-06-20T21:29:13
1b,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,75.78031152781335,0.9418676134422701,0.7692307692307693,0.9622463474025972,2026-06-20T21:46:59
1b,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,72.33167564006081,0.8990047855158279,0.6153846153846154,0.8395061728395061,2026-06-20T22:06:22
1b,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,66.37201876113575,0.8249326724785548,0.38461538461538464,0.9639570552147239,2026-06-20T22:24:10
1b,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,69.53732604391466,0.8642740311525449,0.6153846153846154,0.9791666666666666,2026-06-20T22:29:08
1b,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,72.44253312658728,0.9003826246162725,0.9230769230769231,0.8919753086419752,2026-06-20T22:45:15
1b,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,65.57189687301063,0.8149880195992283,0.7692307692307693,0.9930124223602486,2026-06-20T23:17:09
1b,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,63.991543322753955,0.7953459279164967,0.46153846153846156,0.9556222542039082,2026-06-20T23:31:44
1b,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,66.32809926603245,0.8243868004809008,0.6923076923076923,0.986111111111111,2026-06-20T23:37:29
1b,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,65.52577875762059,0.8144148211205848,0.6153846153846154,0.9501171537797507,2026-06-21T00:11:23
1b,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,72.33167564006081,0.8990047855158279,1.0,1.0,2026-06-21T00:49:29
1b,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,72.13705736798279,0.8965858901093725,0.9230769230769231,1.0,2026-06-21T00:50:25
1b,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,72.13705736798279,0.8965858901093725,0.6923076923076923,0.986111111111111,2026-06-21T00:53:55
