problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1c,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-06-17T17:29:19
1c,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-06-17T17:30:17
1c,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.12587993237043976,0.06489844088971657,0.8461538461538461,0.7160493827160493,2026-06-17T17:53:08
1c,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.2863365861156399,0.14762319663394474,0.9230769230769231,0.7160493827160493,2026-06-17T17:55:13
1c,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.2863365861156399,0.14762319663394474,1.0,0.9876543209876545,2026-06-17T18:03:08
1c,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.019052483154296876,0.009822665364585283,0.8461538461538461,0.7160493827160493,2026-06-17T18:38:56
1c,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.12587993237043976,0.06489844088971657,0.9230769230769231,0.7176350662589195,2026-06-17T18:47:46
1c,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-06-17T19:08:32
1c,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.12587993237043976,0.06489844088971657,1.0,0.4444444444444445,2026-06-17T19:20:15
1c,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.12587993237043976,0.06489844088971657,1.0,1.0,2026-06-17T19:53:20
