problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1c,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,1.3388732232454625,0.6902671704804983,0.6923076923076923,1.0,2026-06-21T01:10:46
1c,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,0.2863365861156399,0.14762319663394474,0.6923076923076923,1.0,2026-06-21T01:15:21
1c,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,0.2863365861156399,0.14762319663394474,0.9230769230769231,1.0,2026-06-21T01:24:48
1c,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,0.2782603174041813,0.14345940946223232,0.5384615384615384,0.9894480519480521,2026-06-21T01:28:58
1c,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,0.2782603174041813,0.14345940946223232,0.38461538461538464,0.9193548387096776,2026-06-21T01:37:43
1c,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,0.2863365861156399,0.14762319663394474,0.46153846153846156,0.9894480519480521,2026-06-21T02:37:38
1c,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,0.654431154780708,0.3373973977833045,0.6153846153846154,0.9482053440386776,2026-06-21T02:45:25
1c,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,0.2863365861156399,0.14762319663394474,0.46153846153846156,0.9591049382716049,2026-06-21T02:55:24
1c,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,0.2863365861156399,0.14762319663394474,0.38461538461538464,0.7679010964421572,2026-06-21T03:14:02
1c,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,1.330796954534004,0.686103383308786,0.6153846153846154,0.9205982115325317,2026-06-21T03:37:56
1c,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,0.6463548860692494,0.3332336106115921,0.6923076923076923,1.0,2026-06-21T03:56:41
1c,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,0.2863365861156399,0.14762319663394474,0.7692307692307693,0.9681372549019607,2026-06-21T03:56:42
1c,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,0.2863365861156399,0.14762319663394474,0.6153846153846154,0.9490445859872612,2026-06-21T04:09:22
1c,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,0.654431154780708,0.3373973977833045,0.5384615384615384,0.9551327113156102,2026-06-21T04:48:47
1c,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,0.2863365861156399,0.14762319663394474,0.7692307692307693,0.9150345622119817,2026-06-21T04:56:27
1c,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,0.12587993237043976,0.06489844088971657,0.6923076923076923,0.9599358974358975,2026-06-21T05:03:44
1c,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,0.12587993237043976,0.06489844088971657,0.6153846153846154,1.0,2026-06-21T05:46:46
1c,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,0.12587993237043976,0.06489844088971657,0.6923076923076923,0.9791666666666666,2026-06-21T06:15:21
1c,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,0.12587993237043976,0.06489844088971657,0.6153846153846154,1.0,2026-06-21T06:21:45
1c,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,0.2863365861156399,0.14762319663394474,0.5384615384615384,0.9449350996922254,2026-06-21T06:26:16
