problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2a,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,60.77780124122636,0.32181474566651064,1.0,1.0,2026-06-17T19:53:30
2a,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,58.685557384476546,0.31073644222542557,1.0,0.9938271604938272,2026-06-17T20:00:37
2a,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,32.57503273141111,0.17248280884545206,0.38461538461538464,0.851461038961039,2026-06-17T20:24:00
2a,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,25.039581384221602,0.13258305417757119,0.23076923076923078,0.8586538461538462,2026-06-17T20:27:06
2a,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,50.23154703901869,0.26597297376121704,0.3076923076923077,0.9797077922077921,2026-06-17T20:30:10
2a,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,77.40997608608603,0.40988109568689923,1.0,1.0,2026-06-17T21:10:40
2a,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,94.03475909603212,0.49790830639286476,1.0,1.0,2026-06-17T21:32:15
2a,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,93.80241726580314,0.4966780705917033,1.0,1.0,2026-06-17T22:03:40
2a,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,42.59772052692021,0.2255523286032471,0.9230769230769231,1.0,2026-06-17T22:18:07
2a,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,123.10695239177755,0.6518437943567128,0.15384615384615385,0.5520094562647755,2026-06-17T22:47:07
