problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
4a,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,32.358575570209695,0.7936375160073954,0.07912087912087912,0.968290880072231,2026-06-22T16:57:13
4a,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,30.48142797549695,0.7475979506682272,0.21043956043956044,0.980977279539295,2026-06-22T17:21:25
4a,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,36.35025455041315,0.8915388029065663,0.11263736263736264,0.9570231240721373,2026-06-22T17:24:46
4a,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,31.041337831046977,0.7613304917061547,0.09285714285714286,0.8942336706989561,2026-06-22T17:32:32
4a,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,33.90773787766799,0.831632801767606,0.19065934065934065,0.8494535956396073,2026-06-22T17:35:46
4a,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,28.351245196330918,0.695352357662104,0.03791208791208791,0.776620102912081,2026-06-22T18:55:14
4a,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,40.65107729305993,0.997022255688854,0.25934065934065936,0.9054939219481107,2026-06-22T18:56:59
4a,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,15.080090988102416,0.3698594805879322,0.04835164835164835,0.8220785318026865,2026-06-22T19:26:17
4a,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,31.405856817941235,0.770270809325161,0.13626373626373625,0.9548004728739476,2026-06-22T20:01:10
4a,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,34.018168718506594,0.8343412664224731,0.03956043956043956,0.9038159078834415,2026-06-22T20:19:25
4a,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,14.312500062101215,0.351033282429128,0.022527472527472527,0.8093922953309088,2026-06-22T20:22:17
4a,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,38.70835015216526,0.9493742639212794,0.05824175824175824,0.8835887643167973,2026-06-22T20:49:51
4a,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,13.613775712367921,0.3338961295253168,0.025274725274725275,0.8762534784375637,2026-06-22T20:59:30
4a,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,37.35454016338302,0.9161702560899738,0.14285714285714285,0.9451216860228487,2026-06-22T21:34:54
4a,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,20.462730221026103,0.5018759354257749,0.015934065934065933,0.7409288507141433,2026-06-22T21:56:15
4a,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,39.309689479182815,0.9641229183772295,0.03736263736263736,0.9689546085370628,2026-06-22T22:20:17
4a,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,40.30665726711215,0.9885748920753566,0.19065934065934065,0.9880507981089021,2026-06-22T23:10:09
4a,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,38.95250388547483,0.9553624620731824,0.13351648351648351,0.98599743892829,2026-06-22T23:26:25
4a,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,7.730259429859905,0.18959499248337905,0.024725274725274724,0.6867311686260358,2026-06-22T23:38:17
4a,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,15.992098809909955,0.3922276970351669,0.03626373626373627,0.8005431791689452,2026-06-22T23:43:06
