problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
4b,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,29757.959214313192,0.06698904820224306,0.910989010989011,0.8637759411993713,2026-06-18T13:29:25
4b,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,94473.98315783867,0.21267326048939272,0.7978021978021979,0.8971086201593124,2026-06-18T13:34:59
4b,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,195896.09043204333,0.44098765476737317,0.3532967032967033,0.87708920635021,2026-06-18T13:49:53
4b,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,156633.9065339481,0.35260335694866485,0.7653846153846153,0.8196546679030717,2026-06-18T14:08:15
4b,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,55168.18687545736,0.12419078550429627,0.35384615384615387,0.7559658918432691,2026-06-18T14:10:21
4b,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,29821.435815758185,0.06713194231279981,0.8192307692307692,0.7982883319543431,2026-06-18T14:58:35
4b,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,71614.61965337508,0.1612138511715468,0.7587912087912088,0.6109823371628952,2026-06-18T15:20:24
4b,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,161991.89086681796,0.3646648786463236,0.6571428571428571,0.8067151244250468,2026-06-18T15:29:52
4b,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,28782.536023537505,0.06479324335306412,0.7417582417582418,0.8675720706461353,2026-06-18T15:56:04
4b,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,112587.78997331286,0.2534498026288912,0.6467032967032967,0.6278485996126397,2026-06-18T16:29:50
