problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5d,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,23185.983910560884,0.1585575871385152,0.856043956043956,0.7725678894279104,2026-06-19T01:08:52
5d,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,41676.14863485106,0.28500276694137733,0.7587912087912088,0.7611466217535977,2026-06-19T01:15:31
5d,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,22313.892427458344,0.15259378064843113,0.8604395604395605,0.7733932162450944,2026-06-19T01:44:45
5d,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,97688.76371660837,0.6680456057072826,0.6648351648351648,0.714087010253547,2026-06-19T01:48:07
5d,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,17912.273831212646,0.12249326704431152,0.5324175824175824,0.8167084900653003,2026-06-19T01:52:10
5d,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,32163.27999472,0.2199489178503408,0.8016483516483517,0.8224269750569068,2026-06-19T02:56:13
5d,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,22785.70007517426,0.15582024205304118,0.8148351648351648,0.7825554757242885,2026-06-19T02:58:38
5d,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,35490.702704922194,0.2427035319462839,0.5686813186813187,0.7140614000228364,2026-06-19T03:25:45
5d,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,11829.308998031025,0.08089485007316878,0.6225274725274725,0.8703584335930414,2026-06-19T03:41:51
5d,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,73029.2478294636,0.4994112551379013,0.4796703296703297,0.45033293680813585,2026-06-19T04:21:37
