problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5d,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,653.4747786127009,0.004468793929659843,0.03021978021978022,0.8597051529211599,2026-06-24T04:05:07
5d,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,64831.435057902156,0.44335042899888055,0.07857142857142857,0.7446052546013121,2026-06-24T04:15:37
5d,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,44281.22747220023,0.30281762510521626,0.16043956043956045,0.7507777481997011,2026-06-24T04:20:07
5d,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,46011.88015155208,0.31465271108092274,0.22857142857142856,0.862014767502025,2026-06-24T04:22:06
5d,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,108055.8161238213,0.7389407991899928,0.10494505494505495,0.8863260253279991,2026-06-24T04:39:53
5d,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,117621.8119402366,0.8043579590171881,0.18461538461538463,0.9229194788184781,2026-06-24T05:40:18
5d,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,58990.99594250848,0.4034105266191319,0.2532967032967033,0.8665389552763101,2026-06-24T05:43:28
5d,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,61827.65792707094,0.422809068494032,0.16703296703296702,0.7437929844079311,2026-06-24T06:30:52
5d,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,41032.342666539196,0.28060009326944363,0.1510989010989011,0.8402833149907474,2026-06-24T06:59:19
5d,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,114394.46757399713,0.7822877316958049,0.05384615384615385,0.515237128457191,2026-06-24T07:05:17
5d,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,49294.40476966901,0.337100289116821,0.1576923076923077,0.7830570093952093,2026-06-24T07:23:25
5d,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,49113.831902656384,0.3358654397264889,0.2456043956043956,0.8333251974233558,2026-06-24T07:46:44
5d,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,77163.06528924798,0.5276804079425805,0.11868131868131868,0.8519626117371218,2026-06-24T07:48:09
5d,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,105815.08190527884,0.723617515412979,0.18076923076923077,0.9191621103450656,2026-06-24T08:33:13
5d,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,94948.82893966734,0.6493085338269386,0.0967032967032967,0.7734925069594127,2026-06-24T08:42:17
5d,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,103295.82557121888,0.7063895553120482,0.1945054945054945,0.7061589619232184,2026-06-24T09:21:31
5d,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,122268.36402293475,0.8361334527632388,0.18516483516483517,0.6972150641626488,2026-06-24T09:48:55
5d,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,117129.40370931628,0.8009906203145027,0.10604395604395604,0.8371337711105152,2026-06-24T10:11:53
5d,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,34824.66349839033,0.238148816048321,0.20384615384615384,0.7734484803244124,2026-06-24T10:30:58
5d,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,36260.23758481338,0.24796600406069338,0.14175824175824175,0.752132441345161,2026-06-24T10:48:32
