problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5e,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,276504.72552365495,0.6089390602014321,0.9697802197802198,0.8396136772398952,2026-06-19T04:13:44
5e,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,275490.12853829627,0.6067046400352759,0.945054945054945,0.6320970776350087,2026-06-19T04:16:02
5e,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,268838.39279068826,0.5920556979342478,0.16923076923076924,0.653391462317612,2026-06-19T04:52:48
5e,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,289298.2802284528,0.6371139681123956,0.7736263736263737,0.7614457295028997,2026-06-19T04:53:14
5e,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,107957.46852572921,0.2377518839914337,0.26373626373626374,0.6389920534242215,2026-06-19T04:53:57
5e,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,275785.8276738421,0.6073558504381384,0.8736263736263736,0.7117417926337438,2026-06-19T05:42:44
5e,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,275862.94177012943,0.6075256767773902,0.9,0.7676618211012918,2026-06-19T06:03:33
5e,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,277289.96437555715,0.6106683710029217,0.910989010989011,0.6639629708870163,2026-06-19T06:29:01
5e,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,276504.7309290249,0.6089390721055358,0.8906593406593407,0.6671113627174396,2026-06-19T06:41:00
5e,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,275781.8856173339,0.6073471689511193,0.8203296703296703,0.6145712791690977,2026-06-19T07:02:58
