problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5e,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,425800.50646964496,0.9377292187389306,0.6923076923076923,0.8474870542176184,2026-06-24T10:59:41
5e,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,436116.8693782743,0.9604486725290259,0.3978021978021978,0.7123132658900512,2026-06-24T11:10:44
5e,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,439857.1344183326,0.968685759523051,0.4472527472527473,0.7281739741002801,2026-06-24T11:19:17
5e,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,374725.60889740253,0.8252483196561952,0.48131868131868133,0.7690448768495236,2026-06-24T11:28:20
5e,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,358504.21167744254,0.7895243646331136,0.5714285714285714,0.6859908208341173,2026-06-24T11:35:30
5e,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,445512.9872101571,0.9811414948714027,0.7763736263736264,0.9674215560979872,2026-06-24T12:39:12
5e,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,420859.41266805213,0.9268475782526393,0.44505494505494503,0.7240827556202312,2026-06-24T12:55:42
5e,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,246566.44021836534,0.5430067645297411,0.43131868131868134,0.8262432205608693,2026-06-24T13:26:05
5e,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,386452.1493180539,0.851073370167148,0.2653846153846154,0.6368677182727442,2026-06-24T13:49:46
5e,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,297252.9238143129,0.65463226976253,0.4554945054945055,0.806757861367393,2026-06-24T14:13:55
5e,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,253579.8453408672,0.5584522015508268,0.17087912087912088,0.677097975375153,2026-06-24T14:22:55
5e,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,443718.9498486142,0.9771905337338118,0.3686813186813187,0.7784391808317593,2026-06-24T14:39:49
5e,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,322712.1898970186,0.7107005395993675,0.20494505494505494,0.7747195702704928,2026-06-24T14:41:41
5e,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,330868.218765789,0.7286623467436,0.5153846153846153,0.8430563524327969,2026-06-24T15:35:19
5e,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,252468.94997594832,0.5560057060046305,0.1824175824175824,0.7471374671023503,2026-06-24T15:36:22
5e,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,347261.98863597185,0.7647659135054405,0.27912087912087913,0.7598997486464996,2026-06-24T16:16:56
5e,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,438969.0920438843,0.9667300472367908,0.5203296703296704,0.7955251083740547,2026-06-24T16:56:48
5e,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,436287.62766604824,0.960824728999966,0.676923076923077,0.9060380697055507,2026-06-24T16:59:10
5e,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,94634.16693097402,0.20841032848446864,0.2763736263736264,0.7816380741413994,2026-06-24T17:25:33
5e,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,276442.4703111225,0.6088019571897553,0.3697802197802198,0.7743142346249957,2026-06-24T17:26:33
